target_date,horizon,y,lag_365,is_hol,lgbm_l2,lgbm_q,xgb,cat,lgbm_bag,v3_2stage,dow,ridge,enet,xtrees,rf
2025-10-01,1,8165.0,7437.0,1,8695.749573855439,7197.84704987667,7034.5654,7186.657957050324,8821.73739040176,8702.137401113778,2,8964.612430123025,8142.597996749607,7610.195977970171,7450.063484317094
2025-10-02,1,8537.0,8012.0,1,8608.947377488368,7544.861717562206,7424.1226,7366.907610010223,8751.641527285863,8610.173970125397,3,7867.4127771819785,8501.269509350555,7651.553960956928,7575.281602238164
2025-10-03,1,8428.0,7787.0,1,8323.21551545196,7728.179966099944,7515.66,7732.369565788425,8015.376492788146,8288.755467909139,4,7066.940561365976,8557.501644762968,7900.798937908529,7837.402769868084
2025-10-04,1,7964.0,7679.0,1,8416.797073387104,7720.823830227302,7552.9336,7810.348168312035,7788.955518140246,8402.576498112952,5,7226.906258137486,8621.050947596654,8016.879088814504,8008.905490885807
2025-10-05,1,7425.0,7612.0,1,7511.535158446435,7022.45382697256,7242.7085,7192.9763895993,6961.699269631503,7480.756050260983,6,5270.624299679141,7184.039735060536,7458.700493702294,7382.566715588798
2025-10-06,1,6625.0,7318.0,1,6895.578330586271,6751.283468455622,6712.2065,6696.582216612498,6518.047883190146,6873.520796190536,0,5476.460195917853,6472.9592928020365,6487.992672236957,6522.304238461569
2025-10-07,1,6786.0,5565.0,1,6810.644102948503,6616.097021580146,6610.9507,6737.992225604958,6397.936340562722,6795.259435209989,1,4555.212594888466,5367.358893706507,6654.782746384362,6785.880651875571
2025-10-08,1,6012.0,5113.0,0,7406.729022025397,6945.003790240392,6894.124,6989.774178701043,7173.645275904503,7406.729022025397,2,6791.832313166103,7134.549521300633,7131.447666351628,7204.422165123544
2025-10-09,1,6156.0,5458.0,0,7543.0374362046205,7273.662309106512,7104.908,7090.106419398697,7238.872066191009,7543.0374362046205,3,6719.563676500254,7395.149498191806,6795.979571508761,7268.157392909314
2025-10-10,1,6655.0,5671.0,0,6654.851423021407,6688.735998148448,6780.0776,6935.44595391059,6633.711584386635,6654.851423021407,4,7352.251453570874,7433.637017123867,6852.24183757092,6520.82941818327
2025-10-11,1,7427.0,6528.0,0,6763.124782691122,6829.220652216044,7064.8438,7159.738891494676,6922.960764305142,6763.124782691122,5,7647.796380304981,7569.20597766448,7079.617080820693,6893.432336580087
