date,demand,floortables
1/1/2015,5890,210
1/2/2015,5821,220
1/3/2015,5347,220
1/4/2015,5136,220
1/5/2015,5029,220
1/6/2015,5049,220
1/7/2015,4844,220
1/8/2015,5315,220
1/9/2015,5317,220
1/10/2015,5999,220
1/11/2015,5560,220
1/12/2015,4979,220
1/13/2015,5365,220
1/14/2015,5351,220
1/15/2015,5153,220
1/16/2015,5494,220
1/17/2015,5973,220
1/18/2015,5311,220
1/19/2015,4975,220
1/20/2015,4769,220
1/21/2015,4895,220
1/22/2015,5480,220
1/23/2015,5582,220
1/24/2015,5652,220
1/25/2015,5013,220
1/26/2015,4852,220
1/27/2015,4770,220
1/28/2015,5009,220
1/29/2015,5177,220
1/30/2015,5429,220
1/31/2015,5449,220
2/1/2015,5301,220
2/2/2015,4672,218
2/3/2015,4740,218
2/4/2015,4829,218
2/5/2015,4844,218
2/6/2015,5322,218
2/7/2015,5677,218
2/8/2015,5472,218
2/9/2015,4898,218
2/10/2015,5027,218
2/11/2015,4646,218
2/12/2015,4677,218
2/13/2015,4826,218
2/14/2015,4680,218
2/15/2015,4194,218
2/16/2015,3686,218
2/17/2015,3171,218
2/18/2015,2898,218
2/19/2015,4393,218
2/20/2015,4973,237
2/21/2015,5738,237
2/22/2015,5839,237
2/23/2015,6490,237
2/24/2015,6645,237
2/25/2015,5806,237
2/26/2015,6083,237
2/27/2015,6017,237
2/28/2015,5704,237
3/1/2015,4991,220
3/2/2015,4767,218
3/3/2015,4745,218
3/4/2015,4552,218
3/5/2015,4104,218
3/6/2015,4883,218
3/7/2015,5505,218
3/8/2015,5182,218
3/9/2015,4899,218
3/10/2015,5167,218
3/11/2015,5628,218
3/12/2015,5453,218
3/13/2015,5370,218
3/14/2015,5817,218
3/15/2015,4670,218
3/16/2015,4337,218
3/17/2015,4367,218
3/18/2015,4647,218
3/19/2015,4570,220
3/20/2015,4758,220
3/21/2015,5390,220
3/22/2015,4953,220
3/23/2015,4021,220
3/24/2015,4358,220
3/25/2015,4546,220
3/26/2015,4723,220
3/27/2015,4885,220
3/28/2015,5491,220
3/29/2015,4921,220
3/30/2015,4541,220
3/31/2015,4332,220
4/1/2015,4245,224
4/2/2015,4044,224
4/3/2015,4300,224
4/4/2015,4671,224
4/5/2015,4937,224
4/6/2015,4606,224
4/7/2015,3969,224
4/8/2015,4052,224
4/9/2015,4400,224
4/10/2015,4992,224
4/11/2015,5623,224
4/12/2015,4729,224
4/13/2015,4468,224
4/14/2015,4601,224
4/15/2015,4553,224
4/16/2015,4597,224
4/17/2015,4836,224
4/18/2015,5781,224
4/19/2015,4801,224
4/20/2015,4536,222
4/21/2015,4626,222
4/22/2015,4689,222
4/23/2015,4508,222
4/24/2015,5083,222
4/25/2015,5323,222
4/26/2015,4546,222
4/27/2015,4278,222
4/28/2015,4475,224
4/29/2015,4762,223
4/30/2015,5090,223
5/1/2015,5990,223
5/2/2015,5644,223
5/3/2015,4774,223
5/4/2015,3985,223
5/5/2015,4164,223
5/6/2015,4436,223
5/7/2015,4345,223
5/8/2015,4729,223
5/9/2015,5039,223
5/10/2015,4866,223
5/11/2015,4258,223
5/12/2015,4525,223
5/13/2015,4667,223
5/14/2015,4777,223
5/15/2015,4832,223
5/16/2015,5714,223
5/17/2015,4857,223
5/18/2015,4300,223
5/19/2015,4175,219
5/20/2015,4611,219
5/21/2015,4517,219
5/22/2015,5070,219
5/23/2015,5479,219
5/24/2015,5010,219
5/25/2015,4404,219
5/26/2015,4233,219
5/27/2015,4600,219
5/28/2015,4677,219
5/29/2015,5041,219
5/30/2015,5459,219
5/31/2015,4830,219
6/1/2015,3959,219
6/2/2015,3744,221
6/3/2015,4339,221
6/4/2015,4163,221
6/5/2015,4852,221
6/6/2015,5414,221
6/7/2015,4476,221
6/8/2015,4049,221
6/9/2015,4060,221
6/10/2015,4524,221
6/11/2015,4405,221
6/12/2015,4829,221
6/13/2015,5260,221
6/14/2015,4653,221
6/15/2015,4305,221
6/16/2015,4082,221
6/17/2015,4047,221
6/18/2015,3992,221
6/19/2015,3891,221
6/20/2015,4730,221
6/21/2015,4687,221
6/22/2015,3977,221
6/23/2015,3783,221
6/24/2015,4043,221
6/25/2015,4126,221
6/26/2015,4412,221
6/27/2015,5010,221
6/28/2015,4446,221
6/29/2015,3945,221
6/30/2015,4049,221
7/1/2015,4513,221
7/2/2015,4129,221
7/3/2015,4807,221
7/4/2015,5010,221
7/5/2015,4350,221
7/6/2015,4229,221
7/7/2015,4104,221
7/8/2015,4662,221
7/9/2015,4253,221
7/10/2015,4875,221
7/11/2015,5342,221
7/12/2015,4656,221
7/13/2015,3995,221
7/14/2015,3939,221
7/15/2015,4169,221
7/16/2015,4499,221
7/17/2015,4787,221
7/18/2015,5384,221
7/19/2015,4659,221
7/20/2015,4096,221
7/21/2015,4201,221
7/22/2015,4343,221
7/23/2015,4370,221
7/24/2015,4441,221
7/25/2015,5262,221
7/26/2015,4723,221
7/27/2015,4350,221
7/28/2015,4439,221
7/29/2015,4104,221
7/30/2015,4064,221
7/31/2015,4383,221
8/1/2015,5105,221
8/2/2015,4693,221
8/3/2015,4267,221
8/4/2015,4092,221
8/5/2015,4512,221
8/6/2015,4210,221
8/7/2015,4667,221
8/8/2015,5177,221
8/9/2015,4711,221
8/10/2015,4105,221
8/11/2015,4142,221
8/12/2015,4129,221
8/13/2015,4181,217
8/14/2015,4605,217
8/15/2015,5476,217
8/16/2015,4968,217
8/17/2015,4150,217
8/18/2015,4238,221
8/19/2015,4232,221
8/20/2015,4112,221
8/21/2015,4460,221
8/22/2015,4990,221
8/23/2015,4511,221
8/24/2015,3794,221
8/25/2015,3990,221
8/26/2015,3973,221
8/27/2015,3723,221
8/28/2015,3894,221
8/29/2015,4277,221
8/30/2015,4088,221
8/31/2015,3273,221
9/1/2015,3277,219
9/2/2015,4037,219
9/3/2015,4943,219
9/4/2015,5177,219
9/5/2015,4648,219
9/6/2015,4128,219
9/7/2015,3905,219
9/8/2015,4291,219
9/9/2015,4249,219
9/10/2015,4205,219
9/11/2015,4673,219
9/12/2015,4738,219
9/13/2015,4116,219
9/14/2015,3727,221
9/15/2015,3851,221
9/16/2015,3997,221
9/17/2015,4043,221
9/18/2015,4483,221
9/19/2015,5080,221
9/20/2015,4345,221
9/21/2015,3780,221
9/22/2015,4117,221
9/23/2015,4119,221
9/24/2015,3714,221
9/25/2015,3462,221
9/26/2015,3606,224
9/27/2015,3094,224
9/28/2015,3482,226
9/29/2015,4114,226
9/30/2015,4510,233
10/1/2015,4616,233
10/2/2015,5164,233
10/3/2015,5168,233
10/4/2015,5266,233
10/5/2015,4768,233
10/6/2015,4705,233
10/7/2015,3814,233
10/8/2015,3387,226
10/9/2015,3648,226
10/10/2015,3879,226
10/11/2015,3534,226
10/12/2015,3558,226
10/13/2015,3607,226
10/14/2015,3840,226
10/15/2015,3715,226
10/16/2015,4100,226
10/17/2015,4486,226
10/18/2015,4023,226
10/19/2015,3460,226
10/20/2015,3781,226
10/21/2015,3535,226
10/22/2015,3516,226
10/23/2015,4031,226
