feat_a,feat_b,group_a,group_b,r
lag_182,lag_anchor_182,short_lag,short_lag,1.0
lag_7,lag_anchor_7,short_lag,short_lag,1.0
lag_21,lag_anchor_21,short_lag,short_lag,1.0
lag_28,lag_anchor_28,short_lag,short_lag,1.0
lag_56,lag_anchor_56,short_lag,short_lag,1.0
lag_91,lag_anchor_91,short_lag,short_lag,1.0
lag_365,lag_anchor_365,yearly_lookback,yearly_lookback,1.0
lag_14,lag_anchor_14,short_lag,short_lag,1.0
rolling_mean_28,ewma_28,recency_aggregate,recency_aggregate,0.9971411939608081
doy_sin,woy_sin,calendar,calendar,0.9968120189822799
doy_cos,woy_cos,calendar,calendar,0.996780860757915
month,day_of_year,calendar,calendar,0.996579075727305
ewma_14,ewma_28,recency_aggregate,recency_aggregate,0.9956081379418495
rolling_mean_3,ewma_3,recency_aggregate,recency_aggregate,0.9950559707204648
rolling_mean_14,ewma_14,recency_aggregate,recency_aggregate,0.9946867079656834
ewma_7,ewma_14,recency_aggregate,recency_aggregate,0.9944173031634416
rolling_mean_14,ewma_28,recency_aggregate,recency_aggregate,0.9941524004522792
rolling_mean_7,ewma_7,recency_aggregate,recency_aggregate,0.9927582843983451
rolling_mean_7,ewma_14,recency_aggregate,recency_aggregate,0.992031881336117
ewma_3,ewma_7,recency_aggregate,recency_aggregate,0.9889585009457021
rolling_mean_14,rolling_mean_28,recency_aggregate,recency_aggregate,0.9889208429342538
rolling_mean_28,ewma_14,recency_aggregate,recency_aggregate,0.9881739106245347
rolling_mean_3,rolling_max_3,recency_aggregate,recency_aggregate,0.9866783629333192
rolling_mean_3,ewma_7,recency_aggregate,recency_aggregate,0.9860218406020484
rolling_mean_3,rolling_min_3,recency_aggregate,recency_aggregate,0.9842165778691689
rolling_max_14,rolling_max_28,recency_aggregate,recency_aggregate,0.98407540583984
ewma_7,ewma_28,recency_aggregate,recency_aggregate,0.9820911487966757
rolling_mean_7,rolling_mean_14,recency_aggregate,recency_aggregate,0.981724151551514
rolling_min_3,ewma_3,recency_aggregate,recency_aggregate,0.9811031035335497
rolling_mean_14,ewma_7,recency_aggregate,recency_aggregate,0.9809168193896043
lag_2,ewma_3,short_lag,recency_aggregate,0.9807402341942467
rolling_max_3,ewma_3,recency_aggregate,recency_aggregate,0.9807381879815045
rolling_mean_7,ewma_28,recency_aggregate,recency_aggregate,0.9804481542783023
lag_3,ewma_3,short_lag,recency_aggregate,0.97891978362922
rolling_mean_7,rolling_max_7,recency_aggregate,recency_aggregate,0.9780279491482675
is_GoldenWeek,GoldenWeek_x_recent,holiday_flag,holiday_flag,0.9776048003485946
is_MidAutumn,MidAutumn_x_recent,holiday_flag,holiday_flag,0.9771639649429051
rolling_max_7,ewma_14,recency_aggregate,recency_aggregate,0.9756234582586943
day_of_year,week_of_year,calendar,calendar,0.9753388294447348
rolling_max_7,ewma_7,recency_aggregate,recency_aggregate,0.9752532975262587
rolling_mean_14,rolling_max_14,recency_aggregate,recency_aggregate,0.9746299648941718
day,week_of_month,calendar,calendar,0.9739133525837635
rolling_max_7,rolling_max_14,recency_aggregate,recency_aggregate,0.9738617997100105
lag_3,rolling_mean_3,short_lag,recency_aggregate,0.9737999509590781
month,week_of_year,calendar,calendar,0.9737728433204139
rolling_max_3,ewma_7,recency_aggregate,recency_aggregate,0.9736165208912185
rolling_max_14,ewma_14,recency_aggregate,recency_aggregate,0.9726793585430921
month,quarter,calendar,calendar,0.9719440695683789
ewma_3,ewma_14,recency_aggregate,recency_aggregate,0.9714011083044667
rolling_max_14,ewma_28,recency_aggregate,recency_aggregate,0.9712362135957778
rolling_mean_28,rolling_max_28,recency_aggregate,recency_aggregate,0.9708772377655357
rolling_min_3,ewma_7,recency_aggregate,recency_aggregate,0.970792688447423
rolling_max_28,ewma_28,recency_aggregate,recency_aggregate,0.9707054639191146
rolling_mean_28,ewma_7,recency_aggregate,recency_aggregate,0.9696804275495079
lag_4,rolling_mean_3,short_lag,recency_aggregate,0.9695304131302017
quarter,day_of_year,calendar,calendar,0.9688309972536139
is_Labour,Labour_x_recent,holiday_flag,holiday_flag,0.9687158387514082
rolling_mean_7,rolling_mean_28,recency_aggregate,recency_aggregate,0.9685120668550706
rolling_max_28,ewma_14,recency_aggregate,recency_aggregate,0.9685063792731046
month_sin,woy_sin,calendar,calendar,0.9683448380230665
rolling_mean_7,ewma_3,recency_aggregate,recency_aggregate,0.9681491506809725
month_cos,woy_cos,calendar,calendar,0.967853778862799
rolling_mean_14,rolling_max_28,recency_aggregate,recency_aggregate,0.967703830044473
lag_anchor_7,ewma_3,short_lag,recency_aggregate,0.9676713273254485
rolling_mean_3,ewma_14,recency_aggregate,recency_aggregate,0.966826007945799
rolling_max_7,ewma_28,recency_aggregate,recency_aggregate,0.9665529416292202
same_dow_mean_4w,same_dow_mean_8w,recency_aggregate,recency_aggregate,0.9664458773049579
rolling_max_7,rolling_mean_14,recency_aggregate,recency_aggregate,0.9663899388071128
rolling_max_14,rolling_mean_28,recency_aggregate,recency_aggregate,0.9663073408070532
lag_28,same_dow_mean_4w,short_lag,recency_aggregate,0.9653125150226137
lag_anchor_28,same_dow_mean_4w,short_lag,recency_aggregate,0.9653125150226137
lag_4,ewma_3,short_lag,recency_aggregate,0.9645602763239606
rolling_mean_3,rolling_mean_7,recency_aggregate,recency_aggregate,0.9643236698452244
rolling_mean_28,same_dow_mean_8w,recency_aggregate,recency_aggregate,0.9641821196422992
ewma_28,same_dow_mean_8w,recency_aggregate,recency_aggregate,0.9630276192937172
rolling_max_14,ewma_7,recency_aggregate,recency_aggregate,0.962025463872997
rolling_max_7,rolling_max_28,recency_aggregate,recency_aggregate,0.9616834947293404
lag_2,rolling_mean_3,short_lag,recency_aggregate,0.9606558889945159
rolling_mean_7,rolling_max_14,recency_aggregate,recency_aggregate,0.960538084688318
