period,mean_demand,mean_per_table,n_days,n_closure_days
2019-01,4763.645161290323,20.777932529164342,31,0
2019-02,5017.428571428572,22.103209565764633,28,0
2019-03,5478.1612903225805,24.09830322940564,31,0
2019-04,5209.666666666667,22.72194181364487,30,0
2019-05,5942.8387096774195,23.21703173882868,31,0
2019-06,6189.066666666667,20.79576486150356,30,0
2019-07,6275.5161290322585,21.058778956484087,31,0
2019-08,6433.129032258064,21.68267378636042,31,0
2019-09,6208.533333333334,20.90415263748597,30,0
2019-10,6557.903225806452,23.303530860664456,31,0
2019-11,6232.866666666667,21.635347844930042,30,0
2019-12,6161.709677419355,21.1787250348584,31,0
2020-01,5465.774193548387,18.199788566855116,31,0
2020-02,561.1034482758621,2.4561364177724223,29,15
2020-03,1272.3548387096773,4.255367353544072,31,0
2020-04,163.96666666666667,0.5483835005574136,30,0
2020-05,128.29032258064515,0.4290646240155357,31,0
2020-06,79.73333333333333,0.26666666666666666,30,0
2020-07,131.83870967741936,0.4409321393893624,31,0
2020-08,200.2258064516129,0.669651526594023,31,0
2020-09,576.7,1.9287625418060201,30,0
2020-10,2139.3225806451615,7.154925018880138,31,0
2020-11,2497.0,8.351170568561873,30,0
2020-12,2741.0,9.232423237233304,31,0
2021-01,2381.6774193548385,8.035366606085926,31,0
2021-02,2036.1785714285713,6.861723283949195,28,0
2021-03,2794.8709677419356,9.97511495990237,31,0
2021-04,2799.6,9.77784544453425,30,0
2021-05,2722.9032258064517,9.28137557022413,31,0
2021-06,1808.2,6.067785234899329,30,0
2021-07,2358.0,7.88628762541806,31,0
2021-08,1113.9354838709678,3.865135813965813,31,0
2021-09,1894.9333333333334,6.569722857869311,30,0
2021-10,1302.4516129032259,4.550121789489508,31,0
2021-11,2048.6666666666665,6.891001414215426,30,0
2021-12,2432.6451612903224,8.165892082236201,31,0
2022-01,1755.7096774193549,5.871938720466069,31,0
2022-02,2239.8571428571427,7.5646281817736725,28,0
2022-03,918.8387096774194,3.0840428236985855,31,0
2022-04,663.5666666666667,2.2192865105908584,30,0
2022-05,805.8709677419355,2.7083347470404595,31,0
2022-06,536.0666666666667,1.7928651059085843,30,0
2022-07,57.483870967741936,0.2244039270687237,31,12
2022-08,523.8064516129032,1.7518610421836227,31,0
2022-09,703.3,2.3521739130434782,30,0
2022-10,895.8709677419355,3.0210554044848,31,0
2022-11,797.6,2.667558528428094,30,0
2022-12,878.4516129032259,2.937965260545906,31,0
2023-01,3497.1935483870966,11.696299492933433,31,0
2023-02,3916.25,13.097826086956522,28,0
2023-03,3881.1290322580644,12.980364656381486,31,0
2023-04,4459.3,14.914046822742474,30,0
2023-05,4591.709677419355,15.35688855324199,31,0
2023-06,4899.133333333333,16.3850613154961,30,0
2023-07,5438.0,18.187290969899667,31,0
2023-08,5437.225806451613,18.184701693818102,31,0
2023-09,5108.533333333334,17.08539576365663,30,0
2023-10,5591.903225806452,18.702017477613552,31,0
2023-11,5638.733333333334,18.858639910813825,30,0
2023-12,5895.451612903225,19.717229474592727,31,0
2024-01,5798.612903225807,19.42212042595619,31,0
2024-02,5291.413793103448,17.756422124508216,29,0
2024-03,6657.225806451613,22.395175187094434,31,0
2024-04,6473.233333333334,21.86903153153153,30,0
2024-05,6758.903225806452,23.550185455771608,31,0
2024-06,6301.733333333334,21.95725900116144,30,0
2024-07,6694.548387096775,23.325952568281444,31,0
2024-08,6784.774193548387,23.558243727598565,31,0
2024-09,6262.766666666666,21.74571759259259,30,0
2024-10,6821.967741935484,24.539452309120446,31,0
2024-11,7168.4,25.868542588796533,30,0
2024-12,6919.096774193548,25.846706617006053,31,0
