feature,group,dtype,pct_nonnull_all,pct_nonnull_trainable,min,mean,max
dow,calendar,int32,100.0,100.0,0.0,3.0,6.0
day,calendar,int32,100.0,100.0,1.0,15.716274603936629,31.0
week_of_month,calendar,int32,100.0,100.0,1.0,2.698031685069611,5.0
month,calendar,int32,100.0,100.0,1.0,6.396543446951513,12.0
quarter,calendar,int32,100.0,100.0,1.0,2.468795007201152,4.0
year,calendar,int32,100.0,100.0,2015.0,2020.2131541046567,2026.0
day_of_year,calendar,int32,100.0,100.0,1.0,179.27724435909747,366.0
is_weekend,calendar,int32,100.0,100.0,0.0,0.28564570331253003,1.0
is_friday,calendar,int32,100.0,100.0,0.0,0.14282285165626502,1.0
is_saturday,calendar,int32,100.0,100.0,0.0,0.14282285165626502,1.0
is_sunday,calendar,int32,100.0,100.0,0.0,0.14282285165626502,1.0
is_month_start,calendar,int32,100.0,100.0,0.0,0.09865578492558809,1.0
is_month_end,calendar,int32,100.0,100.0,0.0,0.11209793566970715,1.0
dow_sin,calendar,float64,100.0,100.0,-0.9749279121818236,0.00010414876118996804,0.9749279121818236
dow_cos,calendar,float64,100.0,100.0,-0.9009688679024191,-0.00021626713103755697,1.0
month_sin,calendar,float64,100.0,100.0,-1.0,0.02201690635245687,1.0
month_cos,calendar,float64,100.0,100.0,-1.0,-0.001543015657771454,1.0
doy_sin,calendar,float64,100.0,100.0,-0.9999907397361901,0.02557967066135762,0.9999907397361901
doy_cos,calendar,float64,100.0,100.0,-0.9999629591162655,0.008303355187870313,1.0
is_CNY,holiday_flag,int8,100.0,100.0,0.0,0.04752760441670667,1.0
is_MidAutumn,holiday_flag,int8,100.0,100.0,0.0,0.007201152184349496,1.0
is_DragonBoat,holiday_flag,int8,100.0,100.0,0.0,0.009601536245799328,1.0
is_ChingMing,holiday_flag,int8,100.0,100.0,0.0,0.002640422467594815,1.0
is_Easter,holiday_flag,int8,100.0,100.0,0.0,0.01056168987037926,1.0
is_GoldenWeek,holiday_flag,int8,100.0,100.0,0.0,0.016802688430148822,1.0
is_Labour,holiday_flag,int8,100.0,100.0,0.0,0.013202112337974076,1.0
is_NewYear,holiday_flag,int8,100.0,100.0,0.0,0.002640422467594815,1.0
is_Christmas,holiday_flag,int8,100.0,100.0,0.0,0.016802688430148822,1.0
CNY_dm7,holiday_flag,int8,100.0,100.0,0.0,0.002640422467594815,1.0
CNY_dm6,holiday_flag,int8,100.0,100.0,0.0,0.002640422467594815,1.0
CNY_dm5,holiday_flag,int8,100.0,100.0,0.0,0.002640422467594815,1.0
CNY_dm4,holiday_flag,int8,100.0,100.0,0.0,0.002640422467594815,1.0
CNY_dm3,holiday_flag,int8,100.0,100.0,0.0,0.002640422467594815,1.0
CNY_dm2,holiday_flag,int8,100.0,100.0,0.0,0.002640422467594815,1.0
CNY_dm1,holiday_flag,int8,100.0,100.0,0.0,0.002640422467594815,1.0
CNY_dp0,holiday_flag,int8,100.0,100.0,0.0,0.002640422467594815,1.0
CNY_dp1,holiday_flag,int8,100.0,100.0,0.0,0.002640422467594815,1.0
CNY_dp2,holiday_flag,int8,100.0,100.0,0.0,0.002640422467594815,1.0
CNY_dp3,holiday_flag,int8,100.0,100.0,0.0,0.002640422467594815,1.0
CNY_dp4,holiday_flag,int8,100.0,100.0,0.0,0.002640422467594815,1.0
CNY_dp5,holiday_flag,int8,100.0,100.0,0.0,0.002640422467594815,1.0
CNY_dp6,holiday_flag,int8,100.0,100.0,0.0,0.002640422467594815,1.0
CNY_dp7,holiday_flag,int8,100.0,100.0,0.0,0.002640422467594815,1.0
CNY_dp8,holiday_flag,int8,100.0,100.0,0.0,0.002640422467594815,1.0
CNY_dp9,holiday_flag,int8,100.0,100.0,0.0,0.002640422467594815,1.0
CNY_dp10,holiday_flag,int8,100.0,100.0,0.0,0.002640422467594815,1.0
GoldenWeek_dp0,holiday_flag,int8,100.0,100.0,0.0,0.002400384061449832,1.0
GoldenWeek_dp1,holiday_flag,int8,100.0,100.0,0.0,0.002400384061449832,1.0
GoldenWeek_dp2,holiday_flag,int8,100.0,100.0,0.0,0.002400384061449832,1.0
GoldenWeek_dp3,holiday_flag,int8,100.0,100.0,0.0,0.002400384061449832,1.0
GoldenWeek_dp4,holiday_flag,int8,100.0,100.0,0.0,0.002400384061449832,1.0
GoldenWeek_dp5,holiday_flag,int8,100.0,100.0,0.0,0.002400384061449832,1.0
GoldenWeek_dp6,holiday_flag,int8,100.0,100.0,0.0,0.002400384061449832,1.0
Labour_dp0,holiday_flag,int8,100.0,100.0,0.0,0.002640422467594815,1.0
Labour_dp1,holiday_flag,int8,100.0,100.0,0.0,0.002640422467594815,1.0
Labour_dp2,holiday_flag,int8,100.0,100.0,0.0,0.002640422467594815,1.0
Labour_dp3,holiday_flag,int8,100.0,100.0,0.0,0.002640422467594815,1.0
Labour_dp4,holiday_flag,int8,100.0,100.0,0.0,0.002640422467594815,1.0
DragonBoat_dm2,holiday_flag,int8,100.0,100.0,0.0,0.002400384061449832,1.0
DragonBoat_dm1,holiday_flag,int8,100.0,100.0,0.0,0.002400384061449832,1.0
DragonBoat_dp0,holiday_flag,int8,100.0,100.0,0.0,0.002400384061449832,1.0
DragonBoat_dp1,holiday_flag,int8,100.0,100.0,0.0,0.002400384061449832,1.0
days_to_next_holiday,holiday_flag,int32,100.0,100.0,0.0,46.50840134421507,365.0
days_from_last_holiday,holiday_flag,int32,100.0,100.0,0.0,62.40566490638502,366.0
CNY_dow0,holiday_flag,int8,100.0,100.0,0.0,0.006961113778204513,1.0
CNY_dow1,holiday_flag,int8,100.0,100.0,0.0,0.007201152184349496,1.0
CNY_dow2,holiday_flag,int8,100.0,100.0,0.0,0.00672107537205953,1.0
CNY_dow3,holiday_flag,int8,100.0,100.0,0.0,0.006481036965914546,1.0
CNY_dow4,holiday_flag,int8,100.0,100.0,0.0,0.00672107537205953,1.0
CNY_dow5,holiday_flag,int8,100.0,100.0,0.0,0.00672107537205953,1.0
CNY_dow6,holiday_flag,int8,100.0,100.0,0.0,0.00672107537205953,1.0
GoldenWeek_dow0,holiday_flag,int8,100.0,100.0,0.0,0.002400384061449832,1.0
GoldenWeek_dow1,holiday_flag,int8,100.0,100.0,0.0,0.002400384061449832,1.0
GoldenWeek_dow2,holiday_flag,int8,100.0,100.0,0.0,0.002400384061449832,1.0
GoldenWeek_dow3,holiday_flag,int8,100.0,100.0,0.0,0.002400384061449832,1.0
GoldenWeek_dow4,holiday_flag,int8,100.0,100.0,0.0,0.002400384061449832,1.0
GoldenWeek_dow5,holiday_flag,int8,100.0,100.0,0.0,0.002400384061449832,1.0
GoldenWeek_dow6,holiday_flag,int8,100.0,100.0,0.0,0.002400384061449832,1.0
Labour_dow0,holiday_flag,int8,100.0,100.0,0.0,0.0019203072491598655,1.0
Labour_dow1,holiday_flag,int8,100.0,100.0,0.0,0.0019203072491598655,1.0
Labour_dow2,holiday_flag,int8,100.0,100.0,0.0,0.0019203072491598655,1.0
Labour_dow3,holiday_flag,int8,100.0,100.0,0.0,0.0019203072491598655,1.0
Labour_dow4,holiday_flag,int8,100.0,100.0,0.0,0.0019203072491598655,1.0
Labour_dow5,holiday_flag,int8,100.0,100.0,0.0,0.0016802688430148825,1.0
Labour_dow6,holiday_flag,int8,100.0,100.0,0.0,0.0019203072491598655,1.0
MidAutumn_dow0,holiday_flag,int8,100.0,100.0,0.0,0.0009601536245799327,1.0
MidAutumn_dow1,holiday_flag,int8,100.0,100.0,0.0,0.001200192030724916,1.0
MidAutumn_dow2,holiday_flag,int8,100.0,100.0,0.0,0.001200192030724916,1.0
MidAutumn_dow3,holiday_flag,int8,100.0,100.0,0.0,0.001200192030724916,1.0
MidAutumn_dow4,holiday_flag,int8,100.0,100.0,0.0,0.001200192030724916,1.0
MidAutumn_dow5,holiday_flag,int8,100.0,100.0,0.0,0.0007201152184349496,1.0
MidAutumn_dow6,holiday_flag,int8,100.0,100.0,0.0,0.0007201152184349496,1.0
holiday_dow0,holiday_flag,int8,100.0,100.0,0.0,0.01872299567930869,1.0
holiday_dow1,holiday_flag,int8,100.0,100.0,0.0,0.017042726836293806,1.0
holiday_dow2,holiday_flag,int8,100.0,100.0,0.0,0.016562650024003842,1.0
holiday_dow3,holiday_flag,int8,100.0,100.0,0.0,0.016082573211713875,1.0
holiday_dow4,holiday_flag,int8,100.0,100.0,0.0,0.01944311089774364,1.0
holiday_dow5,holiday_flag,int8,100.0,100.0,0.0,0.018482957273163705,1.0
holiday_dow6,holiday_flag,int8,100.0,100.0,0.0,0.018242918867018725,1.0
mainland_block_length,mainland_block,int64,100.0,100.0,0.0,0.913586173787806,10.0
mainland_block_day_index,mainland_block,int64,100.0,100.0,0.0,0.615698511761882,10.0
mainland_is_first_block_day,mainland_block,int64,100.0,100.0,0.0,0.14066250600096014,1.0
mainland_is_last_block_day,mainland_block,int64,100.0,100.0,0.0,0.14066250600096014,1.0
mainland_is_workday,mainland_block,int64,100.0,100.0,0.0,0.6821891502640423,1.0
mainland_block_pos_norm,mainland_block,float64,100.0,100.0,0.0,0.22923667786845894,1.0
lag_2,short_lag,float64,3.569714011384679,3.5691177150251887,0.0,4201.33381364073,8785.0
lag_3,short_lag,float64,7.137713462725465,7.135924573646994,0.0,4200.691088157579,8785.0
lag_4,short_lag,float64,10.703998354022358,10.700420575865415,0.0,4200.1086016338295,8785.0
lag_5,short_lag,float64,14.26856868527536,14.262605721680455,0.0,4199.424897861091,8785.0
lag_6,short_lag,float64,17.831424456484466,17.82248001109211,0.0,4198.581009615385,8785.0
lag_7,short_lag,float64,21.39256566764968,21.380043444100384,0.0,4197.937725414763,8785.0
lag_8,short_lag,float64,24.951992318771005,24.935296020705273,0.0,4197.362914862915,8785.0
lag_9,short_lag,float64,28.509704409848435,28.48823774090678,0.0,4196.744286745249,8785.0
lag_10,short_lag,float64,32.06570194088197,32.0388686047049,0.0,4196.088065447546,8785.0
lag_14,short_lag,float64,46.27254646457719,46.21828349586357,0.0,4193.192437379576,8785.0
lag_21,short_lag,float64,71.06851381935395,70.94329158386098,0.0,4188.722316043426,8785.0
lag_28,short_lag,float64,95.78046773197998,95.55506770809262,0.0,4183.524891251813,8785.0
lag_35,short_lag,float64,99.15986557849256,98.86768036234228,0.0,4179.01646090535,8785.0
lag_42,short_lag,float64,98.99183869419107,98.64121643481074,0.0,4173.76212415131,8785.0
lag_56,short_lag,float64,98.6557849255881,98.18828857974765,0.0,4164.487347931873,8785.0
lag_91,short_lag,float64,97.81565050408065,97.05596894208995,0.0,4140.90208588957,8785.0
lag_182,short_lag,float64,95.6313010081613,94.11193788417988,0.0,4072.6671686746986,8785.0
lag_365,yearly_lookback,float64,65.43446951512242,76.35069556777742,1597.0,4950.714600146735,8785.0
lag_728,yearly_lookback,float64,56.72107537205952,52.89550307343902,1597.0,4667.349555649598,8785.0
lag_anchor_7,short_lag,float64,99.61508127014608,99.4812127374405,0.0,4191.998777958503,8785.0
lag_anchor_14,short_lag,float64,99.56107262876345,99.40842076073393,0.0,4190.438167321072,8785.0
lag_anchor_21,short_lag,float64,99.46505726630546,99.27901280214448,0.0,4187.879861063228,8785.0
lag_anchor_28,short_lag,float64,99.32703518277211,99.09298886167214,0.0,4183.499650449237,8785.0
lag_anchor_56,short_lag,float64,98.6557849255881,98.18828857974765,0.0,4164.487347931873,8785.0
lag_anchor_91,short_lag,float64,97.81565050408065,97.05596894208995,0.0,4140.90208588957,8785.0
lag_anchor_182,short_lag,float64,95.6313010081613,94.11193788417988,0.0,4072.6671686746986,8785.0
lag_anchor_365,yearly_lookback,float64,65.43446951512242,76.35069556777742,1597.0,4950.714600146735,8785.0
rolling_mean_3,recency_aggregate,float64,99.62794047047527,99.49854416046587,0.0,4192.100713626011,8707.666666666666
rolling_std_3,recency_aggregate,float64,99.60393662986078,99.4661921708185,0.0,234.5548886873424,2666.9654415958726
rolling_max_3,recency_aggregate,float64,99.62794047047527,99.49854416046587,0.0,4475.069871099868,8785.0
rolling_min_3,recency_aggregate,float64,99.62794047047527,99.49854416046587,0.0,3922.593852719982,8569.0
rolling_mean_7,recency_aggregate,float64,99.62794047047527,99.49854416046587,0.0,4191.4546148443715,7770.0
rolling_std_7,recency_aggregate,float64,99.60393662986078,99.4661921708185,0.0,370.3727355223245,2838.397420793527
rolling_max_7,recency_aggregate,float64,99.62794047047527,99.49854416046587,0.0,4790.936324367116,8785.0
rolling_min_7,recency_aggregate,float64,99.62794047047527,99.49854416046587,0.0,3679.5760235427747,7258.0
rolling_mean_14,recency_aggregate,float64,99.62794047047527,99.49854416046587,0.0,4190.111498915779,7603.285714285715
rolling_std_14,recency_aggregate,float64,99.60393662986078,99.4661921708185,0.0,435.7666972103158,2309.8998619959652
rolling_max_14,recency_aggregate,float64,99.62794047047527,99.49854416046587,0.0,4991.418598447692,8785.0
rolling_min_14,recency_aggregate,float64,99.62794047047527,99.49854416046587,0.0,3468.74316347428,6956.0
rolling_mean_28,recency_aggregate,float64,99.62794047047527,99.49854416046587,45.17857142857143,4187.249917149869,7525.214285714285
rolling_std_28,recency_aggregate,float64,99.60393662986078,99.4661921708185,16.857294188182713,495.44826248133126,2239.6836465748224
rolling_max_28,recency_aggregate,float64,99.62794047047527,99.49854416046587,106.0,5197.275345483333,8785.0
rolling_min_28,recency_aggregate,float64,99.62794047047527,99.49854416046587,0.0,3203.104324780147,6881.0
ewma_3,recency_aggregate,float64,99.62794047047527,99.49854416046587,0.0,4192.07968252714,8519.142857142857
ewma_7,recency_aggregate,float64,99.62794047047527,99.49854416046587,3.2662176821290707,4191.379911936782,7938.817626116197
ewma_14,recency_aggregate,float64,99.62794047047527,99.49854416046587,25.837287851600006,4190.038983868691,7571.368354084898
ewma_28,recency_aggregate,float64,99.62794047047527,99.49854416046587,77.6532899929098,4187.2070228082985,7493.972111311314
same_dow_mean_4w,recency_aggregate,float64,96.01450517797133,95.87049960715441,0.0,4188.494968705078,8785.0
same_dow_mean_8w,recency_aggregate,float64,99.55592894863177,99.40148819152378,31.5,4182.342777736773,8186.5
