holiday,year,n_window_days,baseline_n_days,baseline_lookback,mult_raw,mult_per_table
CNY,2016,18,28,28,0.9382694860540337,0.9205128120977378
CNY,2017,18,22,28,0.9300353190370603,0.910026470990094
CNY,2018,18,28,28,0.8574078823377974,0.849322933684074
CNY,2019,18,27,28,0.9907924388034044,1.001621554326587
CNY,2023,18,20,28,1.7615116760415905,1.761511676041591
CNY,2024,18,28,28,0.8994696541120731,0.9008177170439441
CNY,2025,18,23,28,0.8768528896024125,0.8661447931489837
CNY,2026,18,28,28,0.8496485255282874,0.8610255012672088
ChingMing,2016,1,24,28,0.9216187651290444,0.9191477432653973
ChingMing,2017,1,28,28,0.8917366862116908,0.905014769181478
ChingMing,2018,1,24,28,0.8652840657130777,0.8730719280051017
ChingMing,2019,1,28,28,1.0838914322651154,1.0773820954358742
ChingMing,2023,1,28,28,0.8128498691946328,0.8128498691946325
ChingMing,2024,1,24,28,0.8926569760668936,0.8961136712843386
ChingMing,2025,1,28,28,0.9719545404302782,0.9719545404302783
ChingMing,2026,1,27,28,0.9644132066191753,0.967972479193623
Christmas,2016,7,28,28,1.0624425140521208,1.0624425140521205
Christmas,2017,7,28,28,1.0209968301559635,1.013783855804841
Christmas,2018,7,28,28,1.024127321936663,1.0241273219366627
Christmas,2019,7,28,28,1.1548669409498442,1.1221368108689802
Christmas,2023,7,28,28,1.0440996147119055,1.0440996147119055
Christmas,2024,7,28,28,1.0181844399697184,0.969041515687349
Christmas,2025,7,28,28,1.044942354582033,1.038301103830526
DragonBoat,2016,4,28,28,0.9966667929245104,0.9920256682703024
DragonBoat,2017,4,23,28,0.9196692835701841,0.9240941834851462
DragonBoat,2018,4,28,28,0.9994996601465146,1.0209608238753025
DragonBoat,2019,4,28,28,1.0158136791033097,0.9162157230462641
DragonBoat,2023,4,28,28,0.9471323018267557,0.9471323018267557
DragonBoat,2024,4,28,28,0.9370393103710504,0.9370393103710503
DragonBoat,2025,4,23,28,1.0358060048892126,1.0358060048892124
Easter,2016,4,28,28,1.0629629629629629,1.0671305700394436
Easter,2017,4,27,28,1.040631930564302,1.0326809437398061
Easter,2018,4,28,28,1.0119897687306831,1.0156715025186058
Easter,2019,4,27,28,1.0085381932630146,1.0068599123065003
Easter,2023,4,27,28,1.1446551623167471,1.144655162316747
Easter,2024,4,28,28,0.9424448472238608,0.9468922300752843
Easter,2025,4,27,28,1.1296858221340014,1.137383466813471
Easter,2026,4,28,28,0.9606056429340807,0.9642598920475043
GoldenWeek,2016,7,25,28,1.1885731224280225,1.1949173881261586
GoldenWeek,2017,7,28,28,0.9996024462245079,0.9358392639223811
GoldenWeek,2018,7,24,28,1.123804168842122,1.1008693898861606
GoldenWeek,2019,7,25,28,1.1865638204248923,1.1725634033783747
GoldenWeek,2023,7,25,28,1.1433971904589435,1.1433971904589433
GoldenWeek,2024,7,25,28,1.1299526918853529,1.1705984721689986
GoldenWeek,2025,7,28,28,1.1871271654669924,1.144269627214187
Labour,2016,5,27,28,1.0660519518495053,1.061528733661618
Labour,2017,5,23,28,1.0730771702113988,1.0372923447499576
Labour,2018,5,27,28,0.93406033829132,0.9320689137289107
Labour,2019,5,23,28,1.2042097883421246,1.1956823926976292
Labour,2023,5,23,28,1.0713002194143906,1.0713002194143904
Labour,2024,5,27,28,1.1426012482857062,1.1784319494514601
Labour,2025,5,23,28,1.1558306307952313,1.1628495178428
Labour,2026,5,24,28,1.0975555041216374,1.0908601288560926
MidAutumn,2016,3,28,28,0.8157525133057362,0.8341396110282966
MidAutumn,2017,3,26,28,0.9439208536294066,0.8845721104032983
MidAutumn,2018,3,27,28,0.8968140393161105,0.8903348609616081
MidAutumn,2019,3,28,28,0.81129362095125,0.8109960212979279
MidAutumn,2023,3,28,28,0.9225442564360306,0.9225442564360304
MidAutumn,2024,3,28,28,0.7493681079025657,0.7493681079025655
MidAutumn,2025,3,24,28,1.0723692252266162,1.0360854058102296
NewYear,2016,1,28,28,1.2526255070181382,1.2362324208791624
NewYear,2017,1,21,28,1.204867103900587,1.204867103900587
NewYear,2018,1,21,28,1.017794191707235,1.012958604517714
NewYear,2019,1,21,28,1.0274941084053417,0.848799480856587
NewYear,2023,1,21,28,2.6996069340858697,2.6996069340858693
NewYear,2024,1,21,28,1.040058142367596,1.0400581423675963
NewYear,2025,1,21,28,1.0852217260359331,1.0254385396273962
NewYear,2026,1,21,28,1.1868277443846884,1.1868277443846886
