,normal_midweek,normal_saturday,cny_dm3,cny_dp1,goldenweek,jan2026_a,jan2026_b,__group__
dow,2.0,5.0,5.0,2.0,3.0,0.0,3.0,calendar
day,19.0,22.0,14.0,18.0,2.0,26.0,29.0,calendar
week_of_month,3.0,4.0,2.0,3.0,1.0,4.0,5.0,calendar
month,11.0,11.0,2.0,2.0,10.0,1.0,1.0,calendar
quarter,4.0,4.0,1.0,1.0,4.0,1.0,1.0,calendar
year,2025.0,2025.0,2026.0,2026.0,2025.0,2026.0,2026.0,calendar
day_of_year,323.0,326.0,45.0,49.0,275.0,26.0,29.0,calendar
is_weekend,0.0,1.0,1.0,0.0,0.0,0.0,0.0,calendar
is_friday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,calendar
is_saturday,0.0,1.0,1.0,0.0,0.0,0.0,0.0,calendar
is_sunday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,calendar
is_month_start,0.0,0.0,0.0,0.0,1.0,0.0,0.0,calendar
is_month_end,0.0,0.0,0.0,0.0,0.0,0.0,1.0,calendar
dow_sin,0.9749279121818236,-0.9749279121818236,-0.9749279121818236,0.9749279121818236,0.43388373911755823,0.0,0.43388373911755823,calendar
dow_cos,-0.22252093395631434,-0.2225209339563146,-0.2225209339563146,-0.22252093395631434,-0.900968867902419,1.0,-0.900968867902419,calendar
month_sin,-0.5000000000000004,-0.5000000000000004,0.8660254037844386,0.8660254037844386,-0.8660254037844386,0.49999999999999994,0.49999999999999994,calendar
month_cos,0.8660254037844384,0.8660254037844384,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.8660254037844387,0.8660254037844387,calendar
doy_sin,-0.661634618242279,-0.622046748440868,0.699458327051647,0.7469720876965552,-0.9997685019798909,0.4327755925504312,0.47873384011578846,calendar
doy_cos,0.749826401204568,0.7829801036770624,0.7146733860429609,0.6648553979642865,0.021516097436222233,0.901501684131884,0.8779600847008882,calendar
is_CNY,0.0,0.0,1.0,1.0,0.0,0.0,0.0,holiday_flag
is_MidAutumn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
is_DragonBoat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
is_ChingMing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
is_Easter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
is_GoldenWeek,0.0,0.0,0.0,0.0,1.0,0.0,0.0,holiday_flag
is_Labour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
is_NewYear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
is_Christmas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
CNY_dm7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
CNY_dm6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
CNY_dm5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
CNY_dm4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
CNY_dm3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,holiday_flag
CNY_dm2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
CNY_dm1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
CNY_dp0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
CNY_dp1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,holiday_flag
CNY_dp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
CNY_dp3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
CNY_dp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
CNY_dp5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
CNY_dp6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
CNY_dp7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
CNY_dp8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
CNY_dp9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
CNY_dp10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
GoldenWeek_dp0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
GoldenWeek_dp1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,holiday_flag
GoldenWeek_dp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
GoldenWeek_dp3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
GoldenWeek_dp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
GoldenWeek_dp5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
GoldenWeek_dp6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
Labour_dp0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
Labour_dp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
Labour_dp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
Labour_dp3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
Labour_dp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
DragonBoat_dm2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
DragonBoat_dm1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
DragonBoat_dp0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
DragonBoat_dp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
days_to_next_holiday,36.0,33.0,3.0,45.0,4.0,22.0,19.0,holiday_flag
days_from_last_holiday,44.0,47.0,44.0,1.0,1.0,25.0,28.0,holiday_flag
CNY_dow0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
CNY_dow1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
CNY_dow2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,holiday_flag
CNY_dow3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
CNY_dow4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
CNY_dow5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,holiday_flag
CNY_dow6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
GoldenWeek_dow0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
GoldenWeek_dow1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
GoldenWeek_dow2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
GoldenWeek_dow3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,holiday_flag
GoldenWeek_dow4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
GoldenWeek_dow5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
GoldenWeek_dow6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
Labour_dow0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
Labour_dow1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
Labour_dow2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
Labour_dow3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
Labour_dow4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
Labour_dow5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
Labour_dow6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
MidAutumn_dow0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
MidAutumn_dow1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
MidAutumn_dow2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
MidAutumn_dow3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holiday_flag
