,mean_abs_shap_1,mean_abs_shap_4,mean_abs_shap_7,mean_abs_shap_14,mean_abs_shap_21,mean_abs_shap_28,mean_abs_shap
rolling_max_28,79.16907691405399,233.68131633134277,256.11836016908194,322.86384533445636,479.981937140249,195.06136790464927,261.1459839656389
same_dow_mean_8w,124.60885514303362,223.73121765231343,296.8273404716031,264.02116317546245,317.94210041667714,259.918849798694,247.8415877762973
rolling_max_14,70.26808095282738,60.14508507967057,268.07296948075657,169.00937206958625,5.527724969133642,115.34027269323198,114.72725087420108
lag_2,607.0221377215803,0.0,0.0,0.0,0.0,0.0,101.17035628693006
rolling_mean_28,2.8689920657351866,21.202152623161496,23.5448629082782,56.47421522865343,130.4076349935051,339.0488053956889,95.59111053583706
ewma_28,98.93173024170355,247.9377400439036,105.25360515763256,13.079593509160267,25.715690038371577,63.94063411468946,92.47649885091016
mainland_block_pos_norm,59.971741701552965,77.04210902844703,78.6212962958843,76.5257779654762,83.47749573446887,85.12637244975215,76.79413219593027
rolling_mean_14,44.08385352925539,201.64804192383585,81.24000325181572,84.61442426355521,1.156657821965922,6.939618396099038,69.94709986442119
lag_35,75.88163447409897,69.07688201896785,69.83553727179576,63.79058366451211,61.826696443359225,42.01015380604847,63.736914613130395
mainland_block_length,49.754607162766355,36.96218975527368,26.21625171856293,42.60566612953834,37.07705766094592,35.8971907670164,38.08549386568394
doy_sin,29.903244203609624,43.253188684737765,47.013843500462485,37.448262457079785,31.14264150779953,33.6634965633945,37.07077948618062
lag_42,29.2035377857084,48.35415155184838,24.33231359991445,29.52243116044218,32.2946782429109,53.97705919839461,36.28069525653649
dow_cos,69.70042422094762,17.564284009636534,21.253900231953725,28.29517430795321,36.0052501376041,28.73976201620492,33.59313248738335
year,5.416321369158836,35.28943361710334,34.19941852061743,16.84057303797391,52.772844350364274,50.11507022394995,32.43894351986129
lag_91,14.28392193736147,23.637797499052308,29.169321666506285,33.21447279055745,44.316266588634484,41.85239849887163,31.07902983016394
holiday_yoy_lag,18.46393599726254,31.730383943254566,30.98879295644302,32.54163631701202,35.07915377650105,29.655412238166253,29.74321920477324
days_from_last_holiday,37.72310435930846,33.84279101924396,31.276232391642626,26.972336186348773,17.994095996562173,28.160789832230513,29.32822496422275
days_to_next_holiday,15.831068851126728,26.501033857141458,25.630741151872414,27.828774236669936,31.13650496207586,31.396138194337038,26.38737687553724
dow,39.81961990587539,12.349403507194257,20.496810235052237,24.88555204289118,24.831702585369065,33.494271314801026,25.979559931863857
same_holiday_lastyear_lag,13.681905690485467,32.2470112010697,31.86498010803435,27.978919564149663,24.12693296293312,22.932622586267488,25.472062018823294
day,20.890903585185455,23.640485822921864,27.5383053226686,27.445505972352183,22.634258074478073,25.490857100664623,24.606719313045133
yoy_anchor_diff,3.733156461002474,11.116859529486721,14.530379289843127,34.47559218046628,24.87536651940629,44.16700914750647,22.14972718795189
ewma_14,1.0170358298306332,0.3647223983057947,6.7286794164751935,99.16966517176509,7.767269469523311,1.1640791277693814,19.36857523561157
is_friday,15.046772444731241,18.826143984265514,19.60667717260627,21.77738384016772,19.63241338403812,20.445580406018667,19.22249520530459
lag_365,6.723778821935152,22.040558052809157,16.039243532156306,28.63785287314861,13.591881492634009,18.296146061144658,17.554910138971316
lag_728,16.924802075353966,13.926508679609602,14.597627794184291,10.857871279456045,9.933166956650712,25.648109809984955,15.314681099206595
mainland_is_last_block_day,9.629377734887832,11.961369452180266,16.678845813199818,21.346853459888766,14.114528017503172,15.884257952958468,14.935872071769722
same_dow_mean_4w,55.21290534558346,14.468916010917086,7.5611971671378395,9.40489901734331,0.36853818769884056,0.0,14.502742621446755
rolling_std_28,11.102132563192958,17.051112090663413,14.68130564717219,8.566611340104977,14.590868950382236,12.755839255196769,13.12464497445209
floortables,9.231871736127692,2.0073039083229838,9.381039397515076,13.275031145416158,17.46244520084636,22.773962140290656,12.355275588086487
mainland_block_day_index,16.711960311231532,10.77613747707586,11.212005443243726,8.671889861604631,9.004761753470477,12.540362885332158,11.486186288659729
lag_21,12.367069359687628,21.486429437089825,19.061163772242843,13.506436026076805,0.0,0.0,11.070183099182852
rolling_max_7,7.214835296913318,6.710513603809223,8.961176652550414,33.588974950503214,7.221814065465843,2.2882841015112994,10.997599778458888
rolling_max_3,3.8069609460110265,39.138248111109604,0.7382451001817558,1.7737203878098977,15.02280279403646,2.674115441168988,10.525682130052955
doy_cos,5.786248156996245,8.33306608450835,8.164305152409023,11.841766372455877,13.001163539274437,14.778734482995448,10.317547298106563
day_of_year,7.095050345748019,9.178878835512739,12.774447811109695,12.83902420977856,10.192709188288873,9.693380418681445,10.295581801519889
lag_56,19.96625181434693,8.044921035108489,6.38267019401394,7.879739537353191,10.44322281016299,5.48172865332883,9.699755674052394
holiday_yoy_lift,7.514928068437838,5.256014113093839,9.502083751704674,12.116479925480892,10.931151142003054,11.673135335889105,9.498965389434902
rolling_std_14,5.536374155115645,17.67255577167842,10.773066603677405,8.564074253645106,3.993153625169856,9.238146687226504,9.29622851608549
rolling_min_14,4.86680353249217,6.342614093089579,18.229954471411414,6.341102729144463,10.832535351556928,6.87524596283146,8.914709356754337
rolling_mean_7,5.6247176609086855,1.946062659776238,4.08167809189072,2.264172476059206,37.5735289972512,1.402351449237555,8.815418555853935
month_sin,1.2571779418034723,6.639008266475624,6.9777783228867465,8.288133132345148,14.267671866824934,13.243733068288773,8.44558376643745
rolling_min_7,3.6052431624265524,9.4379071546646,15.775909119040737,2.822254189976834,8.906911072133257,6.671999000222361,7.87003728307739
yoy_ratio,5.505744351611548,9.24416742315465,5.251005322004581,9.838406464139435,3.578705640646479,13.377900443569736,7.7993216075210725
