,feature_value,shap
holiday_yoy_lag,4576.0,-509.265249623258
CNY_x_recent,7424.571428571428,-473.7263911166648
holiday_yoy_lift,0.6436837937848685,-353.8341063072907
rolling_max_14,8150.0,292.3587071940221
same_dow_mean_8w,7816.285714285715,237.49082575162333
rolling_max_28,8150.0,234.8964230476205
ewma_28,7377.715878774666,121.83066314923093
days_to_next_holiday,3.0,-113.89115551377903
rolling_std_28,351.6441412007547,-103.34340996759131
lag_35,8129.0,102.54148468421853
rolling_mean_14,7358.428571428572,80.87118854203857
year,2026.0,61.836816745332136
mainland_block_pos_norm,0.0,-59.759864720267345
same_holiday_lastyear_lag,,-58.54776694362676
day_of_year,45.0,-50.48819496752237
lag_91,7561.0,42.00688879352272
lag_42,7427.0,34.72954528641736
doy_sin,0.699458327051647,-33.96584071031782
rolling_max_7,8150.0,26.56698465741785
mainland_block_length,0.0,-26.48391807060448
dow,5.0,22.463667002598974
is_CNY,1.0,-20.365382655826288
rolling_min_14,6784.0,16.759436778878037
lag_728,5718.0,15.263577249364321
rolling_mean_7,7318.571428571428,-14.400599538505357
day,14.0,-13.025708394564138
lag_56,7812.0,13.003458810477774
dow_cos,-0.2225209339563146,12.815181761771385
doy_cos,0.7146733860429609,-11.812081618918576
trend_diff_7_28,-106.0,-10.755232399863035
is_friday,0.0,-10.7315013203513
lag_365,6622.0,10.660882858480884
trend_7_vs_28,0.9857230816593551,-10.652826809069762
rolling_std_14,385.0962243917958,-10.31775644462366
days_from_last_holiday,44.0,9.414841225889816
lag_14,8150.0,9.107509382890969
same_dow_mean_4w,7974.666666666667,8.188506525694434
rolling_min_7,6784.0,-8.063528777666678
rolling_mean_28,7424.571428571428,8.012606766237687
mainland_is_last_block_day,0.0,7.825885900602423
lag_anchor_91,7561.0,7.479800167344646
rolling_std_7,463.90265516527035,-6.698486739231442
same_dow_vs_overall,1.0740911773005979,6.3496006449879
lag_10,7017.0,5.294685221388771
rolling_min_28,6784.0,-5.216807761084094
ewma_14,7334.801905445816,5.158986743505156
rolling_min_3,7017.0,-4.670264383766213
CNY_dow5,1.0,-4.466428020355278
mainland_block_day_index,0.0,-4.40484753758254
dow_sin,-0.9749279121818236,3.8697060310174183
lag_anchor_7,7672.0,3.794631901870729
lag_anchor_365,6622.0,3.7658638698656857
lag_anchor_56,7812.0,3.486354241415602
lag_21,7915.0,-3.4133357262652053
yoy_anchor_diff,1050.0,-3.2670391038585076
yoy_ratio,1.1169020235842189,3.1724409191806195
lag_8,7672.0,2.9953193599727586
month_sin,0.8660254037844386,2.8360783935994207
lag_anchor_7_zscore,0.7036334249269174,2.6755640928833024
floortables,289.0,2.598771319946064
woy_sin,0.7485107481711011,-2.597066322912611
woy_cos,0.6631226582407953,2.535493257213532
is_saturday,1.0,2.2242780659634045
week_of_year,7.0,-1.9653552274693658
month,2.0,-1.894982848446821
month_cos,0.5000000000000001,-1.8521971038206029
lag_anchor_182,8141.0,-1.512696093236715
rolling_std_3,284.2491082757439,1.4185413703398144
rolling_mean_3,7276.333333333333,-1.1986865159675
lag_28,7859.0,-1.0818772687479954
mainland_is_workday,1.0,-0.9507693102806933
lag_anchor_14,8150.0,0.9267202709369483
CNY_dm1,0.0,0.834476810689309
is_Easter,0.0,-0.7654199806775873
is_MidAutumn,0.0,0.7640076416708114
lag_182,8141.0,-0.42898310607304957
lag_anchor_21,7915.0,0.4118296752185447
CNY_dp1,0.0,0.4027477528175207
lag_9,7140.0,0.38418216130507726
week_of_month,2.0,0.3719367677098184
Labour_dp0,0.0,-0.3016879835853704
MidAutumn_x_recent,0.0,0.2903335532307092
quarter,1.0,0.27592003444927005
lag_anchor_14_per_table,28.20069204152249,0.267133478033498
is_sunday,0.0,0.26710129441588454
holiday_dow0,0.0,-0.24351698374662667
Labour_dow3,0.0,-0.21161738192960086
CNY_dp6,0.0,-0.20598323798905
is_Labour,0.0,-0.19464575796584097
Labour_dp1,0.0,-0.12087126655235932
rolling_max_3,7672.0,0.11515857243259658
Labour_x_recent,0.0,-0.11503085619693636
is_ChingMing,0.0,0.10829071511480075
lag_anchor_28,7859.0,0.08972834689824069
lag_anchor_7_per_table,26.546712802768166,0.08684743771805847
CNY_dm2,0.0,0.06507451228770189
ewma_3,7376.818003913894,-0.04841475540107663
is_month_start,0.0,-0.04686223132481464
GoldenWeek_dp1,0.0,-0.042670777900455446
ewma_7,7300.599644980393,-0.03675437438536512
GoldenWeek_x_recent,0.0,-0.034904560307636556
is_month_end,0.0,0.019579321040457447
Labour_dow0,0.0,-0.01798349099652497
holiday_dow3,0.0,-0.01629969848638304
CNY_dp3,0.0,-0.008284436391274453
is_Christmas,0.0,-0.0013530573274069737
lag_6,,0.0
lag_7,,0.0
MidAutumn_dow2,0.0,0.0
lag_5,,0.0
CNY_dow0,0.0,0.0
DragonBoat_dp0,0.0,0.0
DragonBoat_dm1,0.0,0.0
DragonBoat_dm2,0.0,0.0
Labour_dp4,0.0,0.0
Labour_dp3,0.0,0.0
Labour_dp2,0.0,0.0
GoldenWeek_dp6,0.0,0.0
GoldenWeek_dp5,0.0,0.0
GoldenWeek_dp4,0.0,0.0
GoldenWeek_dp3,0.0,0.0
GoldenWeek_dp2,0.0,0.0
GoldenWeek_dp0,0.0,0.0
CNY_dp10,0.0,0.0
CNY_dp9,0.0,0.0
CNY_dp8,0.0,0.0
