,feature_value,shap
same_dow_mean_8w,7478.0,404.46686224627393
rolling_max_28,8150.0,345.8040486966841
rolling_max_14,8150.0,316.71880697623914
CNY_dp1,1.0,-159.7646906255792
mainland_block_pos_norm,0.4444444444444444,130.29823647552448
CNY_x_recent,7336.714285714285,-123.92093298822172
ewma_28,7255.613347529129,117.4568681183188
holiday_yoy_lift,0.8811265918418741,-106.92112989881764
lag_35,7456.0,103.65634170078343
mainland_block_length,9.0,96.35765711376047
rolling_mean_14,7225.428571428572,76.5393389856172
mainland_block_day_index,4.0,68.93214883442384
year,2026.0,51.07752880285703
days_to_next_holiday,45.0,43.532204148609864
same_holiday_lastyear_lag,,-40.20796027035549
dow_cos,-0.22252093395631434,-29.86552505715562
lag_42,7838.0,29.759901392087144
lag_728,6045.0,28.958169033775423
rolling_min_14,6202.0,-26.338401239949683
lag_21,7444.0,24.64975949112143
lag_91,7422.0,22.693066396461344
doy_sin,0.7469720876965552,-22.445047252572554
mainland_is_last_block_day,0.0,21.88856933349557
rolling_max_7,7962.0,19.90687091065342
rolling_mean_28,7336.714285714285,19.184042133391202
yoy_anchor_diff,-722.0,17.03996319384563
lag_anchor_365,6924.0,16.98693602454086
lag_365,6924.0,16.896194274342772
rolling_mean_7,7085.428571428572,-16.475164154247274
lag_56,7797.0,15.960801192907116
rolling_std_28,448.95568164534086,-14.113646805604242
rolling_std_14,537.573877220041,14.021021355225116
dow,2.0,-13.703659038171763
days_from_last_holiday,1.0,12.361125224452014
is_CNY,1.0,-12.073237745881755
rolling_std_7,597.3464792953339,10.68989287247125
is_friday,0.0,-9.42001050103111
rolling_min_28,6202.0,-8.338938192266582
lag_14,7017.0,8.314779460000143
trend_7_vs_28,0.9657495570224118,-8.092181866788302
trend_diff_7_28,-251.28571428571377,-7.879288686252432
woy_cos,0.5680647467311559,7.237595427784319
ewma_14,7116.139554819313,7.231097623729397
is_month_start,0.0,-6.649067173142136
same_dow_mean_4w,7327.0,6.546345942086221
doy_cos,0.6648553979642865,-6.079529201100331
dow_sin,0.9749279121818236,-5.605520510567313
mainland_is_workday,0.0,5.537662748450273
day,18.0,-5.23478094173115
floortables,289.0,4.967843882199047
lag_anchor_91,7422.0,4.521376053114825
lag_10,7270.0,3.6389930484791293
lag_anchor_21,7444.0,3.4201483571166027
same_dow_vs_overall,0.998675935120821,3.3383307746134143
lag_anchor_56,7797.0,3.053743514279009
month_sin,0.8660254037844386,2.905384339773607
yoy_ratio,1.0063280869706313,-2.65903023037991
rolling_std_3,475.2236900192956,2.525032907618486
holiday_yoy_lag,6264.0,2.3249643642050017
lag_anchor_7,6202.0,2.2911981086630546
week_of_year,8.0,-2.1754560483078
lag_28,7520.0,-1.9007286588389434
lag_anchor_14_per_table,24.280276816608996,-1.7024113809836596
rolling_min_7,6202.0,1.6811168719446812
woy_sin,0.8229838658936564,1.3773058034403176
lag_8,6202.0,1.3749453707074193
week_of_month,3.0,1.2986619345620947
lag_anchor_182,7170.0,-1.1970964821648706
day_of_year,49.0,1.1806621966877011
ewma_7,6909.42296928253,1.0168992462335136
month,2.0,-0.8452408930120938
lag_anchor_7_zscore,-2.527452780095719,-0.8061311019027955
is_Easter,0.0,-0.8032154305253807
CNY_dm1,0.0,0.7779939476535314
is_saturday,0.0,-0.7751692603032303
lag_182,7170.0,-0.7543592066197959
rolling_min_3,6202.0,0.6950226060990807
rolling_mean_3,6602.333333333333,-0.6518184163356971
month_cos,0.5000000000000001,-0.6427776156875434
is_MidAutumn,0.0,0.518572284150704
lag_9,6335.0,0.4449068661172579
rolling_max_3,7270.0,-0.3081270351923168
Labour_dp0,0.0,-0.27464072375358356
is_sunday,0.0,0.26710129441588454
MidAutumn_x_recent,0.0,0.2102749184351645
Labour_dow3,0.0,-0.2068865605428733
CNY_dp6,0.0,-0.2015204362535618
lag_anchor_28,7520.0,-0.1874564157851083
is_ChingMing,0.0,0.18276306546675025
holiday_dow0,0.0,-0.16190235932778715
Labour_x_recent,0.0,-0.14607144847809378
quarter,1.0,0.14310923177144197
Labour_dp1,0.0,-0.12161126310813092
is_Labour,0.0,-0.06739890194619926
CNY_dm2,0.0,0.05799661732780041
lag_anchor_14,7017.0,0.04817294498263696
GoldenWeek_dp1,0.0,-0.0425547194339476
lag_anchor_7_per_table,21.46020761245675,0.0372433802436996
CNY_dow5,0.0,0.035297743312994165
GoldenWeek_x_recent,0.0,-0.034904560307636556
is_month_end,0.0,0.019579321040457447
Labour_dow0,0.0,-0.01798349099652497
CNY_dp3,0.0,-0.01688170151831657
holiday_dow3,0.0,-0.01629969848638304
is_Christmas,0.0,-0.0048394961804073
ewma_3,6549.964774951076,-0.003090862053854756
lag_6,,0.0
lag_7,,0.0
MidAutumn_dow2,0.0,0.0
lag_5,,0.0
CNY_dow0,0.0,0.0
DragonBoat_dp0,0.0,0.0
DragonBoat_dm1,0.0,0.0
DragonBoat_dm2,0.0,0.0
Labour_dp4,0.0,0.0
Labour_dp3,0.0,0.0
Labour_dp2,0.0,0.0
GoldenWeek_dp6,0.0,0.0
GoldenWeek_dp5,0.0,0.0
GoldenWeek_dp4,0.0,0.0
GoldenWeek_dp3,0.0,0.0
GoldenWeek_dp2,0.0,0.0
GoldenWeek_dp0,0.0,0.0
CNY_dp10,0.0,0.0
CNY_dp9,0.0,0.0
CNY_dp8,0.0,0.0
CNY_dp7,0.0,0.0
CNY_dp5,0.0,0.0
CNY_dp4,0.0,0.0
CNY_dp2,0.0,0.0
CNY_dp0,0.0,0.0
CNY_dm3,0.0,0.0
CNY_dm4,0.0,0.0
CNY_dm5,0.0,0.0
CNY_dm6,0.0,0.0
CNY_dm7,0.0,0.0
is_NewYear,0.0,0.0
is_GoldenWeek,0.0,0.0
is_DragonBoat,0.0,0.0
is_weekend,0.0,0.0
DragonBoat_dp1,0.0,0.0
CNY_dow1,0.0,0.0
lag_4,,0.0
CNY_dow2,1.0,0.0
lag_3,,0.0
lag_2,,0.0
mainland_is_first_block_day,0.0,0.0
holiday_dow6,0.0,0.0
holiday_dow5,0.0,0.0
holiday_dow4,0.0,0.0
holiday_dow2,1.0,0.0
holiday_dow1,0.0,0.0
MidAutumn_dow6,0.0,0.0
MidAutumn_dow5,0.0,0.0
MidAutumn_dow4,0.0,0.0
MidAutumn_dow3,0.0,0.0
MidAutumn_dow1,0.0,0.0
MidAutumn_dow0,0.0,0.0
Labour_dow6,0.0,0.0
Labour_dow5,0.0,0.0
Labour_dow4,0.0,0.0
Labour_dow2,0.0,0.0
Labour_dow1,0.0,0.0
GoldenWeek_dow6,0.0,0.0
GoldenWeek_dow5,0.0,0.0
GoldenWeek_dow4,0.0,0.0
GoldenWeek_dow3,0.0,0.0
GoldenWeek_dow2,0.0,0.0
GoldenWeek_dow1,0.0,0.0
GoldenWeek_dow0,0.0,0.0
CNY_dow6,0.0,0.0
CNY_dow4,0.0,0.0
CNY_dow3,0.0,0.0
regime,3.0,0.0
