,feature_value,shap
rolling_max_14,8087.0,457.77985991023786
same_dow_mean_8w,7023.285714285715,457.7203446474723
rolling_max_28,8087.0,421.45004801096303
mainland_block_length,8.0,248.40525440449113
same_holiday_lastyear_lag,7787.0,233.01639197592885
doy_sin,-0.9997685019798909,195.11539991239144
rolling_mean_14,6250.071428571428,162.3838278749183
lag_35,6880.0,140.45570255286003
mainland_block_pos_norm,0.25,139.7226187367467
ewma_28,6217.298329955821,138.22384863770029
lag_anchor_7_zscore,-3.5416336090074068,93.01979853762
rolling_std_14,2157.2335281322603,-86.68119351067422
dow_cos,-0.900968867902419,79.71679198119375
days_to_next_holiday,4.0,-62.30870045289429
mainland_is_last_block_day,0.0,60.632697667334554
lag_728,5765.0,58.55560299016843
days_from_last_holiday,1.0,56.065189659922694
trend_diff_7_28,-962.3928571428569,36.25383179213398
lag_42,7049.0,36.16062280064359
rolling_max_7,8087.0,34.132731670336256
year,2025.0,28.16759897026359
rolling_min_3,879.0,-27.72649147119942
holiday_yoy_lag,,27.560096955487165
lag_14,7349.0,23.88268796054393
lag_21,6968.0,23.823118286684466
lag_91,6522.0,22.883190916720007
rolling_mean_3,2822.0,21.481486642856243
lag_365,8012.0,20.71871558241582
rolling_min_14,879.0,20.42648720897093
lag_anchor_365,8012.0,20.357292860081742
rolling_std_28,1577.1474940893272,19.733306562491403
rolling_mean_28,6464.678571428572,18.25408256161924
yoy_ratio,0.1238202563741372,-17.862571840407146
dow,3.0,17.185823713804442
is_month_start,1.0,16.408504817778248
lag_56,7287.0,16.35595349576814
lag_anchor_7_per_table,3.0950704225352115,13.770982443985211
doy_cos,0.021516097436222233,-13.411960306442966
GoldenWeek_dp1,1.0,13.05489166496928
trend_7_vs_28,0.8511305942732762,12.212997885285805
rolling_std_7,2838.397420793527,11.980326875087524
day,2.0,11.842317851830316
rolling_mean_7,5502.285714285715,11.735246973833608
GoldenWeek_x_recent,6464.678571428572,9.572298854129855
floortables,284.0,9.408878903463322
week_of_year,40.0,7.87707905663506
mainland_block_day_index,2.0,7.7887439735178985
lag_anchor_21,6968.0,7.232205504253981
yoy_anchor_diff,-7133.0,-6.983800561222143
same_dow_mean_4w,6899.333333333333,6.730821634378203
lag_28,6381.0,6.6816711300582075
lag_anchor_14,7349.0,5.6746528444917566
mainland_is_workday,0.0,5.537662748450273
CNY_x_recent,0.0,5.38061949439457
lag_8,879.0,5.236757511330483
holiday_yoy_lift,,4.793604190249517
same_dow_vs_overall,1.0672353245567028,4.682458446522348
is_friday,0.0,-3.573044812955061
lag_anchor_56,7287.0,3.4792850116289222
rolling_std_3,2459.530985099937,3.321225585364505
lag_anchor_91,6522.0,3.320980285948776
holiday_dow3,1.0,3.212052882783994
ewma_3,2466.375733855186,2.9735454849035445
rolling_min_7,879.0,-2.8674385921468333
woy_sin,-0.992708874098054,2.8244742192259817
woy_cos,0.1205366802553232,2.413284292618776
lag_9,1295.0,-2.3866707692287115
is_sunday,0.0,2.3743646463846737
week_of_month,1.0,-2.2498826783234307
month_sin,-0.8660254037844386,2.1883133140830533
day_of_year,275.0,1.948578934198402
ewma_14,5551.007305240918,1.9245362420228087
month_cos,0.5000000000000001,1.921714082614446
lag_anchor_14_per_table,25.87676056338028,-1.6454172510832186
is_Easter,0.0,-1.3123644032573338
lag_182,6169.0,1.2605068570280176
is_CNY,0.0,1.2165427030469858
month,10.0,1.1601536470430376
lag_anchor_182,6169.0,0.9061693459928417
CNY_dm1,0.0,0.8801426334592733
CNY_dp1,0.0,0.7791173269966156
lag_10,6292.0,-0.5996935428176612
rolling_max_3,6292.0,0.5939313415509533
rolling_min_28,879.0,0.49892597160305774
quarter,4.0,-0.45955737255761897
is_MidAutumn,0.0,0.4245200663047297
dow_sin,0.43388373911755823,-0.41164297768902175
is_ChingMing,0.0,0.3285106029188745
Labour_dp0,0.0,-0.27613232425694756
lag_anchor_28,6381.0,0.2563307743620314
is_saturday,0.0,-0.2432250864373546
holiday_dow0,0.0,-0.22873638420816994
Labour_dow3,0.0,-0.2109995084536015
CNY_dp6,0.0,-0.19042038587465396
MidAutumn_x_recent,0.0,0.1790004612503311
is_Labour,0.0,-0.16522514585603618
Labour_x_recent,0.0,-0.16156341684024314
Labour_dp1,0.0,-0.125749828785646
lag_anchor_7,879.0,0.10797589278607345
CNY_dm2,0.0,0.06398122431014562
CNY_dow5,0.0,0.056055899236870856
ewma_7,4426.380580972683,0.02264795240339037
is_month_end,0.0,0.019579321040457447
Labour_dow0,0.0,-0.01798349099652497
CNY_dp3,0.0,-0.01688170151831657
is_Christmas,0.0,-0.0013530573274069737
lag_6,,0.0
lag_7,,0.0
MidAutumn_dow2,0.0,0.0
lag_5,,0.0
CNY_dow0,0.0,0.0
DragonBoat_dp0,0.0,0.0
DragonBoat_dm1,0.0,0.0
DragonBoat_dm2,0.0,0.0
Labour_dp4,0.0,0.0
Labour_dp3,0.0,0.0
Labour_dp2,0.0,0.0
GoldenWeek_dp6,0.0,0.0
GoldenWeek_dp5,0.0,0.0
GoldenWeek_dp4,0.0,0.0
GoldenWeek_dp3,0.0,0.0
GoldenWeek_dp2,0.0,0.0
GoldenWeek_dp0,0.0,0.0
CNY_dp10,0.0,0.0
CNY_dp9,0.0,0.0
CNY_dp8,0.0,0.0
CNY_dp7,0.0,0.0
CNY_dp5,0.0,0.0
CNY_dp4,0.0,0.0
CNY_dp2,0.0,0.0
CNY_dp0,0.0,0.0
CNY_dm3,0.0,0.0
CNY_dm4,0.0,0.0
CNY_dm5,0.0,0.0
CNY_dm6,0.0,0.0
CNY_dm7,0.0,0.0
is_NewYear,0.0,0.0
is_GoldenWeek,1.0,0.0
is_DragonBoat,0.0,0.0
is_weekend,0.0,0.0
DragonBoat_dp1,0.0,0.0
CNY_dow1,0.0,0.0
lag_4,,0.0
CNY_dow2,0.0,0.0
lag_3,,0.0
lag_2,,0.0
mainland_is_first_block_day,0.0,0.0
holiday_dow6,0.0,0.0
holiday_dow5,0.0,0.0
holiday_dow4,0.0,0.0
holiday_dow2,0.0,0.0
holiday_dow1,0.0,0.0
MidAutumn_dow6,0.0,0.0
MidAutumn_dow5,0.0,0.0
MidAutumn_dow4,0.0,0.0
MidAutumn_dow3,0.0,0.0
MidAutumn_dow1,0.0,0.0
MidAutumn_dow0,0.0,0.0
Labour_dow6,0.0,0.0
Labour_dow5,0.0,0.0
Labour_dow4,0.0,0.0
Labour_dow2,0.0,0.0
Labour_dow1,0.0,0.0
GoldenWeek_dow6,0.0,0.0
GoldenWeek_dow5,0.0,0.0
GoldenWeek_dow4,0.0,0.0
GoldenWeek_dow3,1.0,0.0
GoldenWeek_dow2,0.0,0.0
GoldenWeek_dow1,0.0,0.0
GoldenWeek_dow0,0.0,0.0
CNY_dow6,0.0,0.0
CNY_dow4,0.0,0.0
CNY_dow3,0.0,0.0
regime,3.0,0.0
