,feature_value,shap
rolling_max_14,8129.0,377.23595739761817
rolling_max_28,8575.0,368.4185852580542
same_dow_mean_8w,6845.714285714285,354.23521301868806
rolling_min_14,6956.0,170.53476892288322
ewma_28,7470.994342309451,119.31937499233211
rolling_mean_14,7526.214285714285,98.17254532204683
lag_35,7093.0,97.65058148942506
dow,0.0,-62.48536384946749
mainland_block_pos_norm,0.0,-44.71226538824949
rolling_max_7,7859.0,42.43614217560507
floortables,294.0,41.71618212143051
dow_cos,1.0,-40.79998685471467
lag_91,6818.0,38.90006079695013
lag_42,6645.0,36.46983405256953
lag_21,6956.0,36.07739450415749
holiday_yoy_lag,,33.334384811724874
same_holiday_lastyear_lag,,-29.317272821047762
day,26.0,27.616726286724393
lag_365,4576.0,-26.834099445396923
lag_728,5125.0,24.12062494673083
mainland_block_length,0.0,-21.30408919742169
year,2026.0,19.839475921651534
days_from_last_holiday,25.0,19.798145367480824
same_dow_mean_4w,6907.333333333333,13.839954654438953
is_friday,0.0,-12.285836232210306
lag_14,7155.0,11.576933760428393
doy_sin,0.4327755925504312,10.733061943194498
rolling_min_7,7155.0,9.761887536890184
woy_cos,0.8229838658936564,9.412741740663101
mainland_is_last_block_day,0.0,9.15201893201361
yoy_anchor_diff,2985.0,-8.513375686880849
lag_anchor_91,6818.0,7.302880085125219
rolling_std_28,420.0990833076387,-7.294519228598728
lag_10,7527.0,7.286649015115969
rolling_mean_7,7460.285714285715,-7.220107666517177
holiday_yoy_lift,,7.080284256415412
lag_182,7079.0,-6.876894342874249
rolling_max_3,7859.0,-6.015406719153199
month_sin,0.49999999999999994,5.400956492469798
CNY_x_recent,0.0,5.342204375561614
mainland_block_day_index,0.0,-5.167605347724091
ewma_14,7529.970300801484,5.0948168033187216
lag_56,6588.0,-4.698944428074681
same_dow_vs_overall,0.9240844617300702,-4.6103963018017815
lag_anchor_365,4576.0,-4.424269499604778
week_of_year,5.0,-4.035852840737096
rolling_std_14,285.0190917343279,3.677584973178926
lag_anchor_14,7155.0,3.621304111964778
rolling_min_3,7527.0,-3.335893373963935
rolling_std_7,207.62171252112358,-3.3212623659980505
lag_anchor_7,7561.0,3.13389297021575
