,feature_value,shap
same_dow_mean_8w,7501.428571428572,451.15794601442286
rolling_max_28,8575.0,435.36160681574955
rolling_max_14,8129.0,391.844955625215
rolling_min_14,6881.0,160.17625623767157
ewma_28,7424.027582897378,118.35046336059948
rolling_mean_14,7482.714285714285,102.39232808798126
lag_35,7698.0,96.0724545749094
dow_cos,-0.900968867902419,45.93075934117785
mainland_block_pos_norm,0.0,-42.95642130215058
same_holiday_lastyear_lag,,-40.12388421106269
lag_21,7573.0,38.67273722746334
rolling_max_7,7859.0,38.016013124842466
lag_91,7076.0,37.15581294288221
lag_42,7367.0,34.0051043538973
holiday_yoy_lag,,33.1801630716389
floortables,294.0,30.43382268600248
rolling_mean_28,7445.857142857143,28.35585701423428
year,2026.0,26.889494927095647
mainland_block_length,0.0,-26.69991636360223
lag_365,5335.0,-25.981299875858557
days_from_last_holiday,28.0,22.7477929587811
lag_14,7300.0,19.274980193483152
woy_cos,0.8229838658936564,17.44517977657498
same_dow_vs_overall,1.04971124882485,14.042717500245008
same_dow_mean_4w,7816.0,13.459861797537103
lag_56,6780.0,12.363438916810027
is_friday,0.0,-10.57857976921547
day,29.0,9.489449682885406
mainland_is_last_block_day,0.0,9.15201893201361
ewma_7,7393.969891699564,7.994565675953493
rolling_std_28,425.7214644648804,-7.897525360207296
lag_anchor_7,7520.0,7.53237932513476
lag_anchor_91,7076.0,7.319151878103582
mainland_block_day_index,0.0,-7.282980849309258
lag_10,6881.0,7.262681923493481
holiday_yoy_lift,,7.187567544741828
CNY_x_recent,0.0,6.513337026042365
rolling_min_7,6881.0,6.151135576969731
lag_anchor_365,5335.0,-5.950783185561497
month_sin,0.49999999999999994,5.03502411521133
lag_8,7520.0,4.794053592884825
week_of_year,5.0,-4.662188580767078
rolling_std_14,290.8579497603177,4.564717236818521
doy_cos,0.8779600847008882,4.471019923916977
trend_diff_7_28,-34.14285714285779,-4.064829245868359
rolling_min_3,6881.0,-3.952309338368077
ewma_14,7429.576395090356,3.8798613699406945
rolling_mean_7,7411.714285714285,3.876604791568667
lag_anchor_56,6780.0,3.8636042350225557
lag_anchor_14,7300.0,3.8272829838524847
rolling_min_28,6611.0,3.4679090137172706
doy_sin,0.47873384011578846,3.365793306635406
lag_anchor_21,7573.0,3.2772584662040396
month_cos,0.8660254037844387,3.0348260433602543
day_of_year,29.0,2.894011762845845
yoy_ratio,1.2267536704730833,2.588953278792689
lag_28,8575.0,-2.5275938142160745
mainland_is_workday,1.0,-2.4698131192246633
lag_anchor_7_per_table,25.578231292517007,2.0183868009446853
