,feature_value,shap
rolling_max_28,8454.0,394.0028906272354
rolling_max_14,7676.0,352.29590835512323
same_dow_mean_8w,6145.857142857143,273.47918161331404
ewma_28,6958.894159442371,108.30038838744375
rolling_mean_14,6893.071428571428,105.6115080020043
lag_35,7258.0,93.12943612451173
lag_21,6900.0,46.01789332270189
same_holiday_lastyear_lag,,-39.83384516407144
mainland_block_pos_norm,0.0,-36.8623236908414
lag_91,7170.0,34.77967873775411
lag_42,6012.0,32.80223991994145
yoy_anchor_diff,-236.0,32.649134415595
holiday_yoy_lag,,32.40850087289314
lag_365,6778.0,31.612079312139773
lag_728,5559.0,31.0519947796139
doy_sin,-0.661634618242279,29.93157299129174
year,2025.0,26.22008531686382
day,19.0,25.298061587295336
rolling_max_7,7605.0,23.59345038637599
mainland_block_length,0.0,-21.54030094684129
days_from_last_holiday,44.0,17.692039532686238
rolling_mean_7,6877.0,16.540786119722064
lag_anchor_365,6778.0,16.39513226580561
days_to_next_holiday,36.0,15.889916390416497
lag_14,6712.0,15.305816765667089
rolling_mean_28,7090.392857142857,14.130157391761019
same_dow_mean_4w,6902.333333333333,13.638282453773545
woy_sin,-0.5680647467311559,13.576744434244532
day_of_year,323.0,-10.055952378028786
rolling_min_14,6228.0,9.28188543737063
woy_cos,0.8229838658936564,9.096417271105603
mainland_is_last_block_day,0.0,8.928814335303613
floortables,288.0,8.862542495988416
is_friday,0.0,-7.720248245038511
lag_anchor_91,7170.0,7.078929932519504
dow,2.0,-6.783717282525232
lag_anchor_7_zscore,-1.1299005085993172,-6.650660570964535
holiday_yoy_lift,,6.616580351906184
lag_10,7098.0,6.157229450488126
week_of_year,47.0,5.87106095291919
rolling_min_7,6327.0,5.820431456360685
month_sin,-0.5000000000000004,5.6919864567627245
lag_anchor_21,6900.0,5.57577185629824
CNY_x_recent,0.0,5.432655113509164
rolling_std_28,485.34614593870117,-5.18373102407813
lag_56,879.0,-5.049309466495145
rolling_min_28,6228.0,-4.630183488787042
