,feature_value,shap
same_dow_mean_8w,7798.142857142857,493.4628027001275
rolling_max_14,7676.0,413.42407269398257
rolling_max_28,8454.0,396.14223828806314
same_holiday_lastyear_lag,7919.0,219.75220154634755
rolling_mean_14,6866.285714285715,127.03427297290027
ewma_28,6953.213377677721,126.46485687762419
mainland_block_pos_norm,0.5,116.66004531766743
lag_35,8454.0,99.29764355450335
dow_cos,-0.2225209339563146,56.934350444326896
lag_365,7363.0,53.66978107044966
mainland_block_length,2.0,40.496007319567916
mainland_is_last_block_day,0.0,40.42396125388009
holiday_yoy_lag,,34.14264174511393
lag_21,7676.0,30.263129202653055
lag_91,7919.0,30.210121468096666
doy_sin,-0.622046748440868,29.448544356818395
year,2025.0,27.78871522907666
dow,5.0,27.18171766861819
lag_42,7427.0,24.533984100721206
rolling_mean_28,7019.678571428572,21.875806352592004
lag_728,6234.0,20.7798694146297
lag_14,7605.0,20.28182428775523
lag_anchor_365,7363.0,17.398803259599337
day,22.0,16.632526226020058
days_from_last_holiday,47.0,16.181319337824622
lag_56,7721.0,12.894817005164178
woy_sin,-0.5680647467311559,11.18352116681336
trend_diff_7_28,-111.53571428571468,-10.217193939299719
day_of_year,326.0,-9.80410692503592
rolling_std_7,378.05457979784137,-8.716543743035599
is_friday,0.0,-8.391637105530696
rolling_std_28,447.4934998387789,-8.208431554554993
lag_anchor_21,7676.0,7.723432333318015
trend_7_vs_28,0.9841109940931361,-7.600221043472132
same_dow_mean_4w,7673.666666666667,7.309273588217129
rolling_std_14,400.04650239894943,-7.037611275571371
rolling_min_7,6327.0,6.87593225015108
floortables,288.0,6.457104881739006
lag_anchor_14,7605.0,6.176637492265898
holiday_yoy_lift,,6.087507576639543
ewma_14,6899.890566253863,5.955895319944112
mainland_is_workday,0.0,5.537662748450273
rolling_min_28,6228.0,-5.401551185927102
rolling_mean_7,6908.142857142857,-5.355970015174136
rolling_max_7,7605.0,5.025294238971846
yoy_anchor_diff,-376.0,4.914176996975796
CNY_x_recent,0.0,4.883874963354658
mainland_block_day_index,1.0,4.688586271237082
same_dow_vs_overall,1.0931649631223788,4.2760510890997825
lag_anchor_56,7721.0,4.179012059601744
lag_anchor_91,7919.0,3.864363619169843
days_to_next_holiday,33.0,-3.8369154449135854
month_sin,-0.5000000000000004,3.499790293149535
week_of_year,47.0,3.1919653374052275
week_of_month,4.0,2.8887365995604957
lag_28,7740.0,-2.629833854058118
is_month_start,0.0,-2.5690849140397765
rolling_min_14,6228.0,2.5486747604449023
woy_cos,0.8229838658936564,2.4215317104358904
is_sunday,0.0,2.3743646463846737
month,11.0,2.113743102011543
is_saturday,1.0,2.1071225000969775
lag_10,6917.0,2.0542246064756595
rolling_min_3,6881.0,-2.00714637349554
lag_anchor_182,7557.0,-1.6754734439641423
dow_sin,-0.9749279121818236,1.6543841219261513
month_cos,0.8660254037844384,1.5111394156277522
lag_anchor_7_zscore,-0.07302580135877919,-1.3983299187300415
lag_8,6987.0,-0.9947244839492144
is_CNY,0.0,0.8657197555650049
CNY_dm1,0.0,0.8524138345447915
