,feature_value,shap
rolling_max_14,8129.0,441.81969223829213
same_dow_mean_8w,6845.714285714285,429.7174335381005
rolling_max_28,8575.0,362.98664644908183
rolling_min_14,6956.0,188.08812186985318
rolling_mean_14,7526.214285714285,94.95936060574414
lag_35,7093.0,86.3065125420254
dow,0.0,-59.80948597024042
mainland_block_pos_norm,0.0,-49.291593980040595
rolling_min_28,6611.0,42.81332757672196
lag_365,4576.0,-42.225767686705986
lag_21,6956.0,39.994897352648636
same_holiday_lastyear_lag,,-39.1972141857116
ewma_28,7470.994342309451,38.384611269488715
same_dow_mean_4w,6907.333333333333,32.21874662796472
lag_91,6818.0,31.470505574610492
day_of_year,26.0,-30.699438239567616
dow_cos,1.0,-27.764677355235374
holiday_yoy_lag,,27.56392159923258
yoy_anchor_diff,2985.0,-25.606023434373284
rolling_max_7,7859.0,25.34027529300504
rolling_std_14,285.0190917343279,-23.931713240939608
doy_sin,0.4327755925504312,-22.65064423358232
rolling_mean_28,7474.785714285715,21.29289086081562
lag_42,6645.0,20.308336366721317
days_from_last_holiday,25.0,20.041869997081967
lag_14,7155.0,19.89396051534849
floortables,294.0,16.405454599160237
year,2026.0,16.377542823257766
mainland_block_length,0.0,-15.140698210293653
week_of_year,5.0,-13.849751458199657
rolling_min_7,7155.0,13.814048203832046
lag_728,5125.0,13.23875044469472
day,26.0,12.826301507311408
rolling_mean_7,7460.285714285715,-12.637058785062317
is_friday,0.0,-10.905807778328585
woy_sin,0.5680647467311558,-10.73442677327798
lag_anchor_21,6956.0,9.823670579646443
ewma_14,7529.970300801484,9.79443839134922
lag_8,7561.0,9.514495033133565
rolling_max_3,7859.0,9.210112923432007
woy_cos,0.8229838658936564,9.084715715615795
mainland_is_last_block_day,0.0,7.812731329276754
lag_anchor_91,6818.0,7.772288962259047
lag_anchor_14,7155.0,7.079323478974518
month_sin,0.49999999999999994,6.690585515920906
rolling_std_28,420.0990833076387,-6.1673551591345745
mainland_block_day_index,0.0,-5.568904115091022
lag_9,7859.0,-5.430818031071867
lag_anchor_365,4576.0,-4.976015389777983
holiday_yoy_lift,,4.286833393145189
lag_anchor_56,6588.0,4.091481724273038
lag_182,7079.0,-3.8414378672632843
dow_sin,0.0,3.5573845144411154
days_to_next_holiday,22.0,-3.3437434477417067
rolling_min_3,7527.0,-3.2931760163579047
lag_10,7527.0,-3.131005946336973
month,1.0,-3.066746633688617
rolling_std_7,207.62171252112358,-2.9076269490266284
CNY_x_recent,0.0,2.8319651993884554
lag_anchor_7_zscore,0.2052236939806664,2.7661804801103678
same_dow_vs_overall,0.9240844617300702,2.274300690475422
week_of_month,4.0,2.1178217438281974
lag_anchor_7,7561.0,1.9354588362556624
lag_anchor_182,7079.0,1.7249398405323684
doy_cos,0.901501684131884,-1.6551829183078963
trend_diff_7_28,-14.5,-1.626662328811886
ewma_7,7560.18792432646,-1.5788750316138735
