,feature_value,shap
rolling_max_14,8129.0,448.3951948428044
same_dow_mean_8w,7501.428571428572,422.53670908712746
rolling_max_28,8575.0,389.12755185382196
rolling_min_14,6881.0,257.1686236225607
lag_35,7698.0,103.93718093324519
rolling_mean_14,7482.714285714285,96.3621383261891
lag_21,7573.0,50.10333462183605
rolling_max_7,7859.0,43.0111008550018
mainland_block_pos_norm,0.0,-42.646323976971146
lag_91,7076.0,39.61823492728129
same_holiday_lastyear_lag,,-37.2683822560505
same_dow_mean_4w,7816.0,36.618303684646335
ewma_28,7424.027582897378,33.184846835395525
rolling_min_28,6611.0,33.184247188324285
dow_cos,-0.900968867902419,26.87261746930719
lag_14,7300.0,26.518221944363678
year,2026.0,25.59016652339233
holiday_yoy_lag,,24.909867059191306
rolling_mean_28,7445.857142857143,24.435026341173337
lag_365,5335.0,-24.004281753012886
mainland_block_length,0.0,-23.1101038678567
doy_sin,0.47873384011578846,-22.75572049701132
rolling_std_14,290.8579497603177,-20.7893059870229
days_from_last_holiday,28.0,20.621160823132808
ewma_14,7429.576395090356,19.831136346671
lag_42,7367.0,17.99990050249678
lag_56,6780.0,16.353341895931603
day_of_year,29.0,-11.223140602655652
is_friday,0.0,-10.849861296955021
floortables,294.0,9.737955467656649
rolling_mean_7,7411.714285714285,-8.308826891383935
woy_cos,0.8229838658936564,7.580127678586905
lag_728,4570.0,-7.373109560384795
dow,3.0,7.275757130933063
lag_anchor_14,7300.0,7.133450783708388
mainland_is_last_block_day,0.0,7.0792231179112095
doy_cos,0.8779600847008882,6.921504277074348
days_to_next_holiday,19.0,-6.452837522718382
mainland_block_day_index,0.0,-6.062528263906724
rolling_min_7,6881.0,5.638519501621213
lag_8,7520.0,5.535905985537173
week_of_year,5.0,-5.330415774675614
lag_anchor_21,7573.0,4.9985638718416245
holiday_yoy_lift,,4.988999659614265
lag_anchor_365,5335.0,-4.865446643984212
rolling_std_28,425.7214644648804,-4.840511438543257
ewma_7,7393.969891699564,4.6156148174131815
lag_anchor_56,6780.0,4.307504493863146
month_sin,0.49999999999999994,4.232838495265738
rolling_min_3,6881.0,-4.228502320869451
day,29.0,4.2186795628647005
lag_anchor_91,7076.0,4.050756202948212
lag_182,6907.0,4.015939216500882
CNY_x_recent,0.0,3.7644302596414976
yoy_anchor_diff,2185.0,-3.4322887530385198
dow_sin,0.43388373911755823,-3.332080670308554
yoy_ratio,1.2267536704730833,-2.8749338054403277
trend_diff_7_28,-34.14285714285779,-2.3941626775380267
month_cos,0.8660254037844387,2.207029847021479
lag_anchor_7_zscore,0.17415813702523156,2.0830529428477
same_dow_vs_overall,1.04971124882485,1.867132052419686
lag_anchor_7_per_table,25.578231292517007,1.83786407726947
mainland_is_workday,1.0,-1.562995324781016
lag_anchor_14_per_table,24.829931972789115,-1.4536623040760843
trend_7_vs_28,0.9954145162218683,-1.3480207302428855
lag_9,7234.0,1.266171079098102
woy_sin,0.5680647467311558,-1.253898283200518
is_MidAutumn,0.0,1.1583815585869917
regime,3.0,1.0522283294866779
rolling_max_3,7520.0,-0.9993538180670324
CNY_dm1,0.0,0.9880275301853807
rolling_std_3,261.3482138620597,0.7353468943165709
is_Easter,0.0,-0.6972329159936999
week_of_month,5.0,0.5807367922047031
