year,demand_mean,demand_std,demand_cv,demand_min,demand_max,demand_per_table_mean,demand_per_table_std,demand_per_table_cv,demand_per_table_min,demand_per_table_max,floortables_mean,floortables_std,floortables_cv,floortables_min,floortables_max,n
2015,4463.145205479452,669.5987385111217,0.15002844578954055,2855,6645,20.06687970329772,3.061228520953619,0.1525512967743833,12.745535714285714,28.047619047619047,222.56438356164384,4.13167109125626,0.018563936534400204,210,237,365
2016,3795.0245901639346,476.5682942870774,0.12557712946637084,1861,5237,17.216972823824708,2.359963509759048,0.13707191931518586,8.056277056277056,26.190217391304348,221.15300546448088,12.475887065284098,0.05641292117681772,184,237,366
2017,4050.095890410959,430.8079862300007,0.10636982379848965,1996,5543,19.28988232825072,2.03263332402522,0.10537302869123033,9.55023923444976,25.543778801843317,209.95890410958904,2.9484506835094755,0.014042989488888349,200,223,365
2018,4193.1123287671235,596.2724006770084,0.14220282070342888,0,5467,21.29862293604887,3.6510031693522627,0.1714196819350596,0.0,28.510526315789473,197.6,15.067212055349842,0.07625107315460447,0,214,365
2019,5878.608219178082,846.4160755852773,0.14398239243499356,2457,8785,21.96008861034819,2.5979279495085157,0.11830225258218227,10.823788546255507,31.246753246753247,268.67397260273975,32.34490477137907,0.12038719068334958,225,308,365
2020,1339.4453551912568,1684.1441649213534,1.2573444361833468,0,7637,4.524383007937206,5.680550221055756,1.2555414099757394,0.0,25.62751677852349,287.06830601092895,59.546167017177545,0.20742856585119002,0,321,366
2021,2142.071232876712,702.1690572944866,0.3277991163494142,475,4441,7.3311151462002995,2.452849011125939,0.3345806145736566,1.6666666666666667,15.74822695035461,292.5342465753425,8.200914904369126,0.028034033622989753,263,299,365
2022,889.4493150684932,649.8302405377781,0.7305983933303013,0,3427,2.9872706041614423,2.1922680909906815,0.7338699373055538,0.0,12.109540636042404,288.73150684931505,53.372156168191786,0.18485047492945053,0,299,365
2023,4868.868493150685,1036.4729759676238,0.21287758694359674,1856,7086,16.283841114216337,3.466464802567307,0.21287758694359696,6.207357859531773,23.698996655518396,299.0,0.0,0.0,299,299,365
2024,6500.338797814207,809.8009834809851,0.12457827332835135,2684,8428,22.67739259029752,3.182383462838459,0.1403328645551621,9.006711409395972,30.50592885375494,287.44535519125685,9.610269493437983,0.0334333789705651,253,299,366
2025,6972.816438356164,781.3528748994612,0.11205699760019273,879,8675,25.20119310211321,2.8584610747163084,0.11342562485569846,3.0950704225352115,32.011070110701105,276.8684931506849,7.952069270963282,0.028721466933528585,269,294,365
2026,7012.810810810811,744.5654382625612,0.10617218378610098,3518,8653,24.20852651563617,2.513392219557726,0.10382260225273678,12.173010380622838,29.941176470588236,289.6216216216216,2.513650908513209,0.008679085817001561,287,294,148
