,demand,floortables,demand_per_table
count,4166.0,4166.0,4166.0
span_days,4166.0,4166.0,4166.0
gaps,0.0,0.0,0.0
min,0.0,0.0,0.0
p10,745.5,209.0,2.5033444816053514
median,4239.5,284.0,18.815121350447438
mean,4202.704512722035,260.31997119539125,16.539371097114817
p90,6984.0,299.0,25.226872246696036
max,8785.0,321.0,32.011070110701105
std,2121.554933579547,44.88041059657651,8.038538408115114
cv,0.5048070658209193,0.17240479241944184,0.48602442988399863
skew,-0.27281008510080174,-1.5616793922869168,-0.6841852280722588
kurtosis,-0.7315971940703787,5.520379561456897,-0.7055052803454949
