date,p10,p50,p90,horizon
2026-09-10,6556.765605356122,6885.938664412179,7195.846279105002,1
2026-09-11,6767.29331827926,7099.680702368696,7432.936184769242,2
2026-09-12,7349.793275131177,7688.117909352993,8014.705105421163,3
2026-09-13,6567.154651035539,6904.284303314845,7230.327896921869,4
2026-09-14,6185.488490384805,6522.264970786287,6845.47692113414,5
2026-09-15,6172.796777505845,6517.198370302366,6843.638183966052,6
2026-09-16,6347.2977657577185,6696.7146624697525,7022.714499345312,7
2026-09-17,6460.202153925813,6807.57520423254,7140.473639311801,8
2026-09-18,6830.516026936314,7178.3704107843,7500.818845292923,9
2026-09-19,7103.873181159301,7446.8487031865125,7773.816877338821,10
2026-09-20,6593.691937904574,6937.23036994974,7255.944689085774,11
2026-09-21,6250.411340165232,6590.95541493291,6908.284377828741,12
2026-09-22,6425.664213460397,6772.507096175949,7091.3726957134095,13
2026-09-23,5950.806866145606,6292.926113356871,6616.82780644056,14
2026-09-24,5540.653104916018,5875.494500832948,6201.760695781931,15
2026-09-25,4887.489638292149,5221.927271419273,5543.996405850884,16
2026-09-26,5746.160246720949,6091.460967917324,6415.2617744014515,17
2026-09-27,6391.272925928917,6735.510191229379,7061.758436739183,18
2026-09-28,6191.342879382388,6531.8783283310495,6849.009197637309,19
2026-09-29,6294.345762290203,6645.117918996397,6970.163685298362,20
2026-09-30,6520.680054084285,6871.153649828253,7204.904129156065,21
2026-10-01,7842.382505890345,8202.847416013637,8531.673342937793,22
2026-10-02,7989.399498104505,8335.966221371693,8660.217842986918,23
2026-10-03,7803.32928528767,8149.400986283817,8479.39575426509,24
2026-10-04,7410.567502314283,7756.959848295565,8086.418673129516,25
2026-10-05,6873.278375375163,7220.064249965934,7555.48870874881,26
2026-10-06,6989.828331988258,7332.894975970286,7671.183143255881,27
2026-10-07,6800.083217866878,7140.399011259109,7473.340538380866,28
