origin,target,horizon,actual,pred
2025-10-16,2025-10-17,1,7867.0,7691.833944587278
2025-10-16,2025-10-19,3,7329.0,7806.990534053297
2025-10-16,2025-10-23,7,6697.0,7774.075823213776
2025-10-16,2025-10-30,14,7076.0,8998.743908159755
2025-10-16,2025-11-06,21,6794.0,8012.580141990193
2025-10-16,2025-11-13,28,6881.0,6326.615368238794
2025-11-13,2025-11-14,1,6987.0,7410.980946959918
2025-11-13,2025-11-16,3,7269.0,7283.970543156984
2025-11-13,2025-11-20,7,6973.0,7083.750463640598
2025-11-13,2025-11-27,14,7067.0,7226.791261553124
2025-11-13,2025-12-04,21,6780.0,6510.979051216338
2025-11-13,2025-12-11,28,7217.0,6865.864844645746
2025-12-11,2025-12-12,1,7575.0,7395.027483319073
2025-12-11,2025-12-14,3,7355.0,7141.720673478645
2025-12-11,2025-12-18,7,7367.0,6842.740362747822
2025-12-11,2025-12-25,14,7698.0,7045.161811627395
2025-12-11,2026-01-01,21,8575.0,7756.230288685705
2025-12-11,2026-01-08,28,7573.0,7582.705805251446
2026-01-08,2026-01-09,1,7618.0,7615.014538538515
2026-01-08,2026-01-11,3,7581.0,7521.699593657881
2026-01-08,2026-01-15,7,7300.0,7072.357165573174
2026-01-08,2026-01-22,14,7494.0,6278.970155012799
2026-01-08,2026-01-29,21,7280.0,6957.473525245476
2026-01-08,2026-02-05,28,7140.0,7015.268556909363
2026-02-05,2026-02-06,1,7672.0,7410.360266651277
2026-02-05,2026-02-08,3,7270.0,7142.67967954517
2026-02-05,2026-02-12,7,5468.0,5138.714798228553
2026-02-05,2026-02-19,14,7980.0,6863.825622255734
2026-02-05,2026-02-26,21,7120.0,7174.117622509237
2026-02-05,2026-03-05,28,6099.0,8329.209193656108
2026-03-05,2026-03-06,1,6804.0,6932.253329857215
2026-03-05,2026-03-08,3,7092.0,6841.910427196339
2026-03-05,2026-03-12,7,6995.0,7128.88096032207
2026-03-05,2026-03-19,14,7244.0,7096.790713573464
2026-03-05,2026-03-26,21,6924.0,6949.176785409432
2026-03-05,2026-04-02,28,6375.0,6935.408068796883
2026-04-02,2026-04-03,1,6704.0,6737.975537903576
2026-04-02,2026-04-05,3,7075.0,6649.648728957171
2026-04-02,2026-04-09,7,6709.0,7311.819863900565
2026-04-02,2026-04-16,14,7122.0,7449.192671945262
2026-04-02,2026-04-23,21,7310.0,6842.735139875767
2026-04-02,2026-04-30,28,7108.0,6345.231369434219
2026-04-30,2026-05-01,1,8653.0,7576.095506385966
2026-04-30,2026-05-03,3,7780.0,7758.820708403792
2026-04-30,2026-05-07,7,6236.0,7119.548155758806
2026-04-30,2026-05-14,14,6955.0,7936.474417298188
2026-04-30,2026-05-21,21,6588.0,7335.375259723772
2026-04-30,2026-05-28,28,6993.0,7108.2568373257545
