origin,target,horizon,actual,pred
2025-10-16,2025-10-17,1,7867.0,7676.242706364773
2025-10-16,2025-10-19,3,7329.0,7781.513251426817
2025-10-16,2025-10-23,7,6697.0,7720.0836455562
2025-10-16,2025-10-30,14,7076.0,8828.744785596937
2025-10-16,2025-11-06,21,6794.0,8137.79264899858
2025-10-16,2025-11-13,28,6881.0,6534.993764711433
2025-11-13,2025-11-14,1,6987.0,7400.698721587387
2025-11-13,2025-11-16,3,7269.0,7272.048816799377
2025-11-13,2025-11-20,7,6973.0,7086.0070840604185
2025-11-13,2025-11-27,14,7067.0,7233.53119528258
2025-11-13,2025-12-04,21,6780.0,6532.327834472013
2025-11-13,2025-12-11,28,7217.0,6951.3322247163815
2025-12-11,2025-12-12,1,7575.0,7407.502496576821
2025-12-11,2025-12-14,3,7355.0,7161.355081140637
2025-12-11,2025-12-18,7,7367.0,6857.021713975545
2025-12-11,2025-12-25,14,7698.0,7016.19914417468
2025-12-11,2026-01-01,21,8575.0,7745.13470689805
2025-12-11,2026-01-08,28,7573.0,7537.21130065406
2026-01-08,2026-01-09,1,7618.0,7592.594998586561
2026-01-08,2026-01-11,3,7581.0,7451.625950518177
2026-01-08,2026-01-15,7,7300.0,7010.407090939293
2026-01-08,2026-01-22,14,7494.0,6326.19331062243
2026-01-08,2026-01-29,21,7280.0,6913.203451229685
2026-01-08,2026-02-05,28,7140.0,6974.229183482814
2026-02-05,2026-02-06,1,7672.0,7407.621234589162
2026-02-05,2026-02-08,3,7270.0,7155.7553966856885
2026-02-05,2026-02-12,7,5468.0,5437.374094609665
2026-02-05,2026-02-19,14,7980.0,6750.719485087835
2026-02-05,2026-02-26,21,7120.0,7059.323667470211
2026-02-05,2026-03-05,28,6099.0,8364.059898627147
2026-03-05,2026-03-06,1,6804.0,6923.526612739084
2026-03-05,2026-03-08,3,7092.0,6809.956782873009
2026-03-05,2026-03-12,7,6995.0,7138.546702281763
2026-03-05,2026-03-19,14,7244.0,7104.89179219041
2026-03-05,2026-03-26,21,6924.0,6942.70756794079
2026-03-05,2026-04-02,28,6375.0,6899.459058427504
2026-04-02,2026-04-03,1,6704.0,6708.927437309781
2026-04-02,2026-04-05,3,7075.0,6664.676504300303
2026-04-02,2026-04-09,7,6709.0,7333.304735278578
2026-04-02,2026-04-16,14,7122.0,7439.032857742504
2026-04-02,2026-04-23,21,7310.0,6834.994064667165
2026-04-02,2026-04-30,28,7108.0,6372.045511876089
2026-04-30,2026-05-01,1,8653.0,7580.070027224716
2026-04-30,2026-05-03,3,7780.0,7779.970008212222
2026-04-30,2026-05-07,7,6236.0,7185.572538275124
2026-04-30,2026-05-14,14,6955.0,7948.911153698573
2026-04-30,2026-05-21,21,6588.0,7353.321424141468
2026-04-30,2026-05-28,28,6993.0,7194.488586204157
