origin,target,horizon,actual,pred
2025-10-16,2025-10-17,1,7867.0,7624.271280446819
2025-10-16,2025-10-19,3,7329.0,7498.31560195889
2025-10-16,2025-10-23,7,6697.0,7061.661154431836
2025-10-16,2025-10-30,14,7076.0,6894.755708301608
2025-10-16,2025-11-06,21,6794.0,6921.745677020501
2025-10-16,2025-11-13,28,6881.0,7039.978312082201
2025-11-13,2025-11-14,1,6987.0,7204.752809873234
2025-11-13,2025-11-16,3,7269.0,7205.158853092356
2025-11-13,2025-11-20,7,6973.0,6852.8043521474065
2025-11-13,2025-11-27,14,7067.0,6971.967297270171
2025-11-13,2025-12-04,21,6780.0,6753.162302385795
2025-11-13,2025-12-11,28,7217.0,6722.569812732147
2025-12-11,2025-12-12,1,7575.0,7146.017325108085
2025-12-11,2025-12-14,3,7355.0,7175.111678775788
2025-12-11,2025-12-18,7,7367.0,6981.779565202454
2025-12-11,2025-12-25,14,7698.0,6801.470404632917
2025-12-11,2026-01-01,21,8575.0,6479.810981198624
2025-12-11,2026-01-08,28,7573.0,6907.692329078011
2026-01-08,2026-01-09,1,7618.0,7601.50541414177
2026-01-08,2026-01-11,3,7581.0,7190.001207181741
2026-01-08,2026-01-15,7,7300.0,7465.7992268481075
2026-01-08,2026-01-22,14,7494.0,6662.69720386682
2026-01-08,2026-01-29,21,7280.0,6888.290904466694
2026-01-08,2026-02-05,28,7140.0,6727.566263992529
2026-02-05,2026-02-06,1,7672.0,7395.967866886486
2026-02-05,2026-02-08,3,7270.0,7281.124718632295
2026-02-05,2026-02-12,7,5468.0,5933.694606153106
2026-02-05,2026-02-19,14,7980.0,7479.173033091221
2026-02-05,2026-02-26,21,7120.0,7379.3235728844975
2026-02-05,2026-03-05,28,6099.0,6969.931638384917
2026-03-05,2026-03-06,1,6804.0,6453.744131512571
2026-03-05,2026-03-08,3,7092.0,7188.263271379953
2026-03-05,2026-03-12,7,6995.0,7115.722071911613
2026-03-05,2026-03-19,14,7244.0,7106.502174044049
2026-03-05,2026-03-26,21,6924.0,7025.48075274297
2026-03-05,2026-04-02,28,6375.0,6616.4507824654975
2026-04-02,2026-04-03,1,6704.0,6532.095168252454
2026-04-02,2026-04-05,3,7075.0,7021.232328157956
2026-04-02,2026-04-09,7,6709.0,6731.205785944944
2026-04-02,2026-04-16,14,7122.0,7061.624593073711
2026-04-02,2026-04-23,21,7310.0,6472.207429564139
2026-04-02,2026-04-30,28,7108.0,6866.078289961003
2026-04-30,2026-05-01,1,8653.0,7819.164863958908
2026-04-30,2026-05-03,3,7780.0,7563.604435416169
2026-04-30,2026-05-07,7,6236.0,6736.5682098009565
2026-04-30,2026-05-14,14,6955.0,7001.505230434032
2026-04-30,2026-05-21,21,6588.0,7058.564476681048
2026-04-30,2026-05-28,28,6993.0,6992.0395030578875
