,gain,share
rolling_max_28,68366310632.80789,0.16441031088509012
same_dow_mean_8w,67464555019.78784,0.16224172932340125
rolling_max_14,40163507585.40625,0.09658696962336157
lag_2,35025876743.80078,0.08423176899804313
holiday_yoy_lag,23408407614.0,0.05629356824318347
rolling_mean_14,20494000519.503906,0.04928487387286192
rolling_mean_28,19510760195.998047,0.04692033429531187
ewma_28,16663307428.398438,0.04007265463528054
lag_35,11340442057.52002,0.027271993866471434
mainland_block_pos_norm,7087845336.358398,0.017045162222003897
holiday_yoy_lift,6540592338.296875,0.015729104141477383
same_holiday_lastyear_lag,6415331613.8984375,0.015427871641881946
mainland_block_length,5284493779.640137,0.012708383078434315
days_from_last_holiday,4857700392.001953,0.011682011567440106
ewma_14,4485405377.099609,0.01078670014029853
doy_sin,3802925750.2402344,0.009145443114929019
day,3456110023.4208984,0.008311405400469664
lag_42,3384915818.8799286,0.008140194445930008
CNY_x_recent,3183576037.203125,0.007656003683072986
days_to_next_holiday,2943669553.572754,0.007079066019011149
lag_56,2876962344.451233,0.0069186455884155725
yoy_anchor_diff,2813720321.7462463,0.006766558390529848
dow_cos,2802292841.3842773,0.006739077083120479
mainland_block_day_index,2598456583.147461,0.0062488826836250315
lag_91,2354261897.0029297,0.0056616325615416125
lag_21,2270206349.3984375,0.005459492083499796
rolling_std_28,2231543366.1557617,0.005366513640816026
dow,2089081586.5898438,0.005023915287169664
lag_365,2026749149.6816406,0.004874015501215951
day_of_year,1906853584.7524567,0.004585685373097393
rolling_max_7,1742153794.59375,0.004189608073444082
doy_cos,1548902880.4980469,0.0037248697751329344
mainland_is_last_block_day,1510318462.0,0.003632080268402699
same_dow_mean_4w,1466668755.5019531,0.00352710953429462
rolling_std_14,1441631619.09375,0.0034668991274079022
month_sin,1426162576.0,0.0034296984921740065
rolling_min_28,1316335520.0,0.0031655815571892325
rolling_max_3,1260894453.3046875,0.0030322544414386984
rolling_min_14,1259612297.2558594,0.0030291710561771586
lag_728,1251131037.4798584,0.0030087749496217116
year,1182870280.0986328,0.0028446184778387605
yoy_ratio,1059836844.0383301,0.0025487422592056002
woy_sin,1051515692.0,0.0025287311867800036
trend_7_vs_28,1037499584.2011719,0.0024950246342503365
rolling_min_3,1023378044.1015625,0.0024610645334863374
