origin,target,horizon,pred,actual,variant
2016-12-28,2016-12-29,1,3982.854516223944,3736.0,informed
2016-12-28,2016-12-30,2,4084.4547375506686,4127.0,informed
2016-12-28,2016-12-31,3,4429.799073782857,4749.0,informed
2016-12-28,2017-01-01,4,4402.268651851548,4654.0,informed
2016-12-28,2017-01-02,5,3852.6041687402553,4449.0,informed
2016-12-28,2017-01-03,6,3562.761598854292,3658.0,informed
2016-12-28,2017-01-04,7,3641.2640368190364,3995.0,informed
2017-01-04,2017-01-05,1,3702.549508540375,3985.0,informed
2017-01-04,2017-01-06,2,3828.585145652481,4301.0,informed
2017-01-04,2017-01-07,3,4435.366524194877,4691.0,informed
2017-01-04,2017-01-08,4,3909.4418811570504,4233.0,informed
2017-01-04,2017-01-09,5,3727.8333080940833,3909.0,informed
2017-01-04,2017-01-10,6,3822.9069444001843,3815.0,informed
2017-01-04,2017-01-11,7,3790.8780677531527,3792.0,informed
2017-01-25,2017-01-26,1,1991.3676563816641,2098.0,informed
2017-01-25,2017-01-27,2,2249.967845925829,1996.0,informed
2017-01-25,2017-01-28,3,3771.7609435280965,2949.0,informed
2017-01-25,2017-01-29,4,3827.5275919778837,3622.0,informed
2017-01-25,2017-01-30,5,4152.151537785882,4184.0,informed
2017-01-25,2017-01-31,6,4652.939307098019,4624.0,informed
2017-01-25,2017-02-01,7,4591.519113982788,4877.0,informed
2017-02-01,2017-02-02,1,4299.578364502315,4501.0,informed
2017-02-01,2017-02-03,2,4255.311628130796,4511.0,informed
2017-02-01,2017-02-04,3,4904.896003439267,4622.0,informed
2017-02-01,2017-02-05,4,4633.362807014986,4385.0,informed
2017-02-01,2017-02-06,5,3901.1326228920707,4460.0,informed
2017-02-01,2017-02-07,6,3905.276760159071,4297.0,informed
2017-02-01,2017-02-08,7,3515.7533238313226,4243.0,informed
2017-02-08,2017-02-09,1,3704.9840040564545,4403.0,informed
2017-02-08,2017-02-10,2,4027.8101426522735,4253.0,informed
2017-02-08,2017-02-11,3,4072.7942967651925,3870.0,informed
2017-02-08,2017-02-12,4,4040.4853996988527,3634.0,informed
2017-02-08,2017-02-13,5,4059.0956480006516,3717.0,informed
2017-02-08,2017-02-14,6,4060.5274118837656,3869.0,informed
2017-02-08,2017-02-15,7,3915.944900982889,4162.0,informed
2017-02-15,2017-02-16,1,3947.6126835687232,4484.0,informed
2017-02-15,2017-02-17,2,4076.511624384998,4488.0,informed
2017-02-15,2017-02-18,3,4411.47471212686,5000.0,informed
2017-02-15,2017-02-19,4,4021.914244772795,4535.0,informed
2017-02-15,2017-02-20,5,3661.9601083325783,3766.0,informed
2017-02-15,2017-02-21,6,3705.495392203106,3533.0,informed
2017-02-15,2017-02-22,7,3733.947401056382,3527.0,informed
2017-02-22,2017-02-23,1,3724.6592549620245,3781.0,informed
2017-02-22,2017-02-24,2,3679.867471582154,4114.0,informed
2017-02-22,2017-02-25,3,4064.3970678142095,4549.0,informed
2017-02-22,2017-02-26,4,3909.95336301267,3995.0,informed
2017-02-22,2017-02-27,5,3823.191356740836,3604.0,informed
2017-02-22,2017-02-28,6,3858.393681807303,3675.0,informed
2017-02-22,2017-03-01,7,3993.4716850300138,3684.0,informed
2017-03-22,2017-03-23,1,3974.1868839344525,4208.0,informed
2017-03-22,2017-03-24,2,4341.78006563012,4478.0,informed
2017-03-22,2017-03-25,3,4457.728084063083,4915.0,informed
2017-03-22,2017-03-26,4,4257.888150116949,4303.0,informed
2017-03-22,2017-03-27,5,3758.295344020622,3757.0,informed
2017-03-22,2017-03-28,6,3757.613410802616,3925.0,informed
2017-03-22,2017-03-29,7,3659.8829804142006,3756.0,informed
2017-03-29,2017-03-30,1,3860.685719062212,4260.0,informed
2017-03-29,2017-03-31,2,4416.691123185044,4020.0,informed
2017-03-29,2017-04-01,3,4301.035261946202,4251.0,informed
2017-03-29,2017-04-02,4,4364.784460865462,4254.0,informed
2017-03-29,2017-04-03,5,4346.4048562868775,4083.0,informed
2017-03-29,2017-04-04,6,3874.287718276677,3688.0,informed
2017-03-29,2017-04-05,7,3632.0182059808753,3153.0,informed
2017-04-05,2017-04-06,1,3656.196651058685,3545.0,informed
2017-04-05,2017-04-07,2,4061.0532514503434,3737.0,informed
2017-04-05,2017-04-08,3,4595.9370569580815,4314.0,informed
2017-04-05,2017-04-09,4,4349.650631856853,4073.0,informed
2017-04-05,2017-04-10,5,3619.6537612484585,3622.0,informed
2017-04-05,2017-04-11,6,3705.7516099656746,3716.0,informed
2017-04-05,2017-04-12,7,3593.048590486528,4151.0,informed
2017-05-03,2017-05-04,1,4233.38405307876,4252.0,informed
2017-05-03,2017-05-05,2,4264.859586606861,3948.0,informed
2017-05-03,2017-05-06,3,4485.023390897228,4525.0,informed
2017-05-03,2017-05-07,4,4411.874785865248,4075.0,informed
2017-05-03,2017-05-08,5,3833.859485143478,3725.0,informed
