origin,target,horizon,pred,actual,variant
2016-12-28,2016-12-29,1,3974.2059689582748,3736.0,off
2016-12-28,2016-12-30,2,4051.5819553834735,4127.0,off
2016-12-28,2016-12-31,3,4388.725659392039,4749.0,off
2016-12-28,2017-01-01,4,4286.6376530267,4654.0,off
2016-12-28,2017-01-02,5,3869.6128693355995,4449.0,off
2016-12-28,2017-01-03,6,3591.186849570184,3658.0,off
2016-12-28,2017-01-04,7,3712.88169881682,3995.0,off
2017-01-04,2017-01-05,1,3739.7227913107886,3985.0,off
2017-01-04,2017-01-06,2,3894.445939768664,4301.0,off
2017-01-04,2017-01-07,3,4337.973064954493,4691.0,off
2017-01-04,2017-01-08,4,3867.672472323188,4233.0,off
2017-01-04,2017-01-09,5,3640.668715846297,3909.0,off
2017-01-04,2017-01-10,6,3793.1646812902986,3815.0,off
2017-01-04,2017-01-11,7,3795.18802427448,3792.0,off
2017-01-25,2017-01-26,1,1980.8987669647415,2098.0,off
2017-01-25,2017-01-27,2,2234.8902729583524,1996.0,off
2017-01-25,2017-01-28,3,3814.128095615562,2949.0,off
2017-01-25,2017-01-29,4,3832.659934453759,3622.0,off
2017-01-25,2017-01-30,5,4181.513462703008,4184.0,off
2017-01-25,2017-01-31,6,4649.15053191885,4624.0,off
2017-01-25,2017-02-01,7,4567.391670485274,4877.0,off
2017-02-01,2017-02-02,1,4296.894118239433,4501.0,off
2017-02-01,2017-02-03,2,4238.165983562821,4511.0,off
2017-02-01,2017-02-04,3,4890.907256606237,4622.0,off
2017-02-01,2017-02-05,4,4649.337484784422,4385.0,off
2017-02-01,2017-02-06,5,3892.0368641324667,4460.0,off
2017-02-01,2017-02-07,6,3901.0432062080704,4297.0,off
2017-02-01,2017-02-08,7,3512.28307150727,4243.0,off
2017-02-08,2017-02-09,1,3873.736836966405,4403.0,off
2017-02-08,2017-02-10,2,4043.5774451542475,4253.0,off
2017-02-08,2017-02-11,3,4228.172837223991,3870.0,off
2017-02-08,2017-02-12,4,4028.9026105874195,3634.0,off
2017-02-08,2017-02-13,5,3874.5341830060706,3717.0,off
2017-02-08,2017-02-14,6,3969.903689148827,3869.0,off
2017-02-08,2017-02-15,7,3837.8793923385188,4162.0,off
2017-02-15,2017-02-16,1,3895.6910091028976,4484.0,off
2017-02-15,2017-02-17,2,4096.989340672732,4488.0,off
2017-02-15,2017-02-18,3,4345.090972258419,5000.0,off
2017-02-15,2017-02-19,4,3995.415461090611,4535.0,off
2017-02-15,2017-02-20,5,3754.5163394807223,3766.0,off
2017-02-15,2017-02-21,6,3846.44394954078,3533.0,off
2017-02-15,2017-02-22,7,3859.828631971702,3527.0,off
2017-02-22,2017-02-23,1,3734.885938624432,3781.0,off
2017-02-22,2017-02-24,2,3778.791545743877,4114.0,off
2017-02-22,2017-02-25,3,4415.814361586509,4549.0,off
2017-02-22,2017-02-26,4,3979.3079527478462,3995.0,off
2017-02-22,2017-02-27,5,3749.393006276714,3604.0,off
2017-02-22,2017-02-28,6,3779.269791599174,3675.0,off
2017-02-22,2017-03-01,7,3820.003323049406,3684.0,off
2017-03-22,2017-03-23,1,3988.8110914053045,4208.0,off
2017-03-22,2017-03-24,2,4360.786367119984,4478.0,off
2017-03-22,2017-03-25,3,4660.556018318524,4915.0,off
2017-03-22,2017-03-26,4,4289.177071516105,4303.0,off
2017-03-22,2017-03-27,5,3728.922649656863,3757.0,off
2017-03-22,2017-03-28,6,3625.8970424257027,3925.0,off
2017-03-22,2017-03-29,7,3736.3680154896765,3756.0,off
2017-03-29,2017-03-30,1,3904.894912498732,4260.0,off
2017-03-29,2017-03-31,2,4459.442987648386,4020.0,off
2017-03-29,2017-04-01,3,4437.498983867723,4251.0,off
2017-03-29,2017-04-02,4,4477.413983095116,4254.0,off
2017-03-29,2017-04-03,5,4242.171422450552,4083.0,off
2017-03-29,2017-04-04,6,3838.964567641734,3688.0,off
2017-03-29,2017-04-05,7,3759.130853644302,3153.0,off
2017-04-05,2017-04-06,1,3649.744633936284,3545.0,off
2017-04-05,2017-04-07,2,4166.634660514685,3737.0,off
2017-04-05,2017-04-08,3,4675.916120323746,4314.0,off
