origin,target_date,horizon,lead_days,forecast,p10,p90,actual,is_cny,is_jan
2025-12-31,2026-01-01,1,1,7459.429509268864,7242.682744164061,7657.7093188209665,8575.0,False,False
2025-12-31,2026-01-02,2,2,7303.37142215081,7107.537129253876,7499.09745008001,8139.0,False,False
2025-12-31,2026-01-03,3,3,7334.301508381376,7136.609533888287,7527.597269025561,7427.0,False,False
2025-12-31,2026-01-04,4,4,7229.153908814825,7030.411070835978,7418.997436801806,7185.0,False,False
2025-12-31,2026-01-05,5,5,6716.825583509246,6493.135537795628,6917.754727956815,6956.0,False,False
2025-12-31,2026-01-06,6,6,6822.644846710839,6606.504871775904,7028.849422790454,7450.0,False,False
2025-12-31,2026-01-07,7,7,7165.55647364564,6940.335142844244,7374.437590064908,7838.0,False,False
2026-01-07,2026-01-08,1,1,7421.3673987250495,7208.342985849353,7619.527028556656,7573.0,False,False
2026-01-07,2026-01-09,2,2,7560.215334366914,7356.321345404142,7762.21496306057,7618.0,False,False
2026-01-07,2026-01-10,3,3,7836.799490701437,7643.640417657033,8029.29728269007,8129.0,False,False
2026-01-07,2026-01-11,4,4,7225.7805575180555,7020.578461240031,7422.0006084173765,7581.0,False,False
2026-01-07,2026-01-12,5,5,7044.08951902132,6815.621189338133,7240.7323057024005,7155.0,False,False
2026-01-07,2026-01-13,6,6,7152.4739796644035,6928.537971078169,7361.808972821993,7364.0,False,False
2026-01-07,2026-01-14,7,7,7448.281580115323,7227.493116544218,7644.507863326706,7456.0,False,False
2026-01-14,2026-01-15,1,1,7412.4195675768015,7190.519391223866,7616.914591337002,7300.0,False,True
2026-01-14,2026-01-16,2,2,7421.199710031255,7214.813421745603,7625.605655712964,7527.0,False,True
2026-01-14,2026-01-17,3,3,7592.792407807687,7387.582655105657,7791.730986336916,7859.0,False,True
2026-01-14,2026-01-18,4,4,7243.573147607517,7045.213124124304,7433.419288142341,7561.0,False,True
2026-01-14,2026-01-19,5,5,6730.186253949058,6499.375316474877,6930.958099711064,6881.0,False,True
2026-01-14,2026-01-20,6,6,6862.788689476663,6636.866006061755,7082.029379309753,7234.0,False,True
2026-01-14,2026-01-21,7,7,7091.359311776175,6872.890211490569,7300.424570234477,7520.0,False,True
2026-01-21,2026-01-22,1,1,7374.709583588593,7153.834424264505,7582.775066797455,7494.0,False,True
2026-01-21,2026-01-23,2,2,7301.543609130942,7096.089227263893,7508.019537221623,7809.0,False,True
2026-01-21,2026-01-24,3,3,7574.330212624267,7373.663299822763,7777.049551972649,7915.0,False,True
2026-01-21,2026-01-25,4,4,7113.0957956097645,6907.059638249289,7303.30263964069,7586.0,False,True
2026-01-21,2026-01-26,5,5,6835.470321498616,6609.5031885596645,7033.03260666815,7011.0,False,True
2026-01-21,2026-01-27,6,6,7034.041200593839,6805.3959585778175,7245.862585463088,7119.0,False,True
2026-01-21,2026-01-28,7,7,7183.223092769835,6959.116123769271,7390.412134331841,7444.0,False,True
2026-01-28,2026-01-29,1,1,7312.649707108735,7090.608510457844,7525.860743495317,7280.0,False,True
2026-01-28,2026-01-30,2,2,7424.702443460175,7211.16462281887,7621.658511747182,7433.0,False,True
2026-01-28,2026-01-31,3,3,7650.564698809063,7439.772849375743,7846.745131236089,8150.0,False,True
2026-01-28,2026-02-01,4,4,7369.499193107602,7163.265115291598,7556.940974094751,7599.0,False,False
2026-01-28,2026-02-02,5,5,6766.211614999315,6547.4162402754455,6962.489912945716,6868.0,False,False
2026-01-28,2026-02-03,6,6,6989.228797777822,6761.279717118143,7186.001653625649,6784.0,False,False
2026-01-28,2026-02-04,7,7,7167.713157238378,6940.222986917925,7372.614369449438,7017.0,False,False
2026-02-04,2026-02-05,1,1,7200.2381077854,6981.509969381808,7419.014444824272,7140.0,False,False
2026-02-04,2026-02-06,2,2,7257.449911413593,7047.821096825412,7462.087683631796,7672.0,False,False
2026-02-04,2026-02-07,3,3,7674.003399697067,7467.514674188758,7864.675075684204,7962.0,False,False
2026-02-04,2026-02-08,4,4,7124.153819368757,6923.323900661262,7318.381035421155,7270.0,False,False
2026-02-04,2026-02-09,5,5,6772.830868052587,6548.702454721361,6972.4403197042775,6335.0,False,False
2026-02-04,2026-02-10,6,6,6116.823148885794,5891.221489889864,6322.094750395256,6202.0,True,False
2026-02-04,2026-02-11,7,7,5888.126514372077,5666.19566029445,6095.099759116931,5613.0,True,False
2026-02-11,2026-02-12,1,1,6031.497743452103,5811.399567311101,6246.531410082392,5468.0,True,False
2026-02-11,2026-02-13,2,2,6155.627112976371,5947.320468956982,6363.064241226682,5134.0,True,False
2026-02-11,2026-02-14,3,3,6039.989396188496,5841.700904066957,6225.379655947326,4464.0,True,False
2026-02-11,2026-02-15,4,4,6218.365951803422,6008.243278200782,6414.161416379474,3936.0,True,False
2026-02-11,2026-02-16,5,5,5230.602781566952,5014.822441662986,5427.735996909446,3518.0,True,False
2026-02-11,2026-02-17,6,6,6059.178366632367,5835.102296331478,6265.464796058591,5271.0,True,False
2026-02-11,2026-02-18,7,7,6480.828444509822,6247.567993739234,6683.358821435606,6585.0,True,False
2026-02-18,2026-02-19,1,1,6663.386109440343,6426.726175107518,6886.733089201416,7980.0,True,False
2026-02-18,2026-02-20,2,2,7556.496790535385,7337.494766433163,7775.047889916637,7881.0,True,False
2026-02-18,2026-02-21,3,3,7724.381961162927,7514.276535992576,7932.464848835441,7988.0,True,False
2026-02-18,2026-02-22,4,4,7472.044676238993,7246.70942059318,7672.056771748063,7699.0,True,False
2026-02-18,2026-02-23,5,5,7118.389658285539,6886.22112193187,7313.061633185247,7073.0,True,False
2026-02-18,2026-02-24,6,6,6306.7545883654575,6074.2924141616095,6524.930075330505,6813.0,True,False
2026-02-18,2026-02-25,7,7,7147.91150785153,6904.574618369446,7350.525119288212,6644.0,True,False
2026-02-25,2026-02-26,1,1,7033.157595004354,6797.844052355431,7250.901259245096,7120.0,True,False
2026-02-25,2026-02-27,2,2,7281.223967101878,7064.0784854118265,7480.946833472367,7451.0,True,False
2026-02-25,2026-02-28,3,3,7276.940738000662,7051.219110027681,7481.274701078327,7436.0,False,False
2026-02-25,2026-03-01,4,4,7101.265062708989,6884.795711815804,7309.618429532612,7091.0,False,False
2026-02-25,2026-03-02,5,5,6686.2129368905,6454.846692919464,6885.883043248302,6255.0,False,False
2026-02-25,2026-03-03,6,6,6564.837125684051,6324.411967285458,6786.730657341702,5836.0,False,False
2026-02-25,2026-03-04,7,7,6299.9737712318865,6053.634224095785,6513.357044758646,5808.0,False,False
2026-03-04,2026-03-05,1,1,6262.600999872346,6027.9960103868025,6485.125638908493,6099.0,False,False
2026-03-04,2026-03-06,2,2,6964.862629200942,6736.207818446676,7172.076291124854,6804.0,False,False
2026-03-04,2026-03-07,3,3,7730.015911757937,7512.526177334026,7936.589204150552,7626.0,False,False
2026-03-04,2026-03-08,4,4,7552.13978259342,7328.9748014499055,7761.179084524769,7092.0,False,False
2026-03-04,2026-03-09,5,5,6953.251989117157,6713.914612682678,7164.383816963595,6789.0,False,False
2026-03-04,2026-03-10,6,6,6644.22455647563,6404.369189289568,6875.726058782686,6851.0,False,False
2026-03-04,2026-03-11,7,7,6885.4785487500285,6633.5906071262,7105.724399890195,6909.0,False,False
2026-03-11,2026-03-12,1,1,7304.509288599655,7060.180003447233,7540.500437054344,6995.0,False,False
2026-03-11,2026-03-13,2,2,7438.708397029226,7212.513279297182,7649.8503795302895,7478.0,False,False
2026-03-11,2026-03-14,3,3,8030.240816644768,7796.53249819631,8242.19224628569,8041.0,False,False
2026-03-11,2026-03-15,4,4,7332.096668238304,7096.374774299421,7542.712723830483,7248.0,False,False
2026-03-11,2026-03-16,5,5,7124.612286092004,6874.643794716411,7338.8939902157435,6605.0,False,False
2026-03-11,2026-03-17,6,6,6955.808310564724,6713.901294754338,7188.300496956476,7018.0,False,False
2026-03-11,2026-03-18,7,7,6794.106558078145,6535.66864239205,7018.191681366074,7236.0,False,False
2026-03-18,2026-03-19,1,1,7045.737042006502,6811.546306443752,7278.636058422545,7244.0,False,False
2026-03-18,2026-03-20,2,2,7461.329391040056,7234.620279451411,7677.8076877528365,7336.0,False,False
2026-03-18,2026-03-21,3,3,7986.512192846105,7763.783166194632,8190.833242907077,7576.0,False,False
2026-03-18,2026-03-22,4,4,7337.4330953713925,7107.2141782202525,7550.35442500607,6941.0,False,False
2026-03-18,2026-03-23,5,5,6522.4962432332795,6278.553358539089,6742.272708615164,6779.0,False,False
2026-03-18,2026-03-24,6,6,6756.656744610627,6523.092655751857,6983.0797594092255,6916.0,False,False
2026-03-18,2026-03-25,7,7,6951.04963478103,6712.691513691105,7183.874071062483,6997.0,False,False
2026-03-25,2026-03-26,1,1,7098.091122822576,6858.106397184525,7330.596282381688,6924.0,False,False
2026-03-25,2026-03-27,2,2,7237.952220687626,7014.1425251393375,7454.494695518548,6814.0,False,False
2026-03-25,2026-03-28,3,3,7837.1578819289025,7610.325042037893,8049.71095051362,7429.0,False,False
